City,Code,Type,Line,Station
3620,01,地铁,1号线,
3620,010001,地铁,1号线,保顺路
3620,010002,地铁,1号线,华山路
3620,010003,地铁,1号线,泰山路
3620,010004,地铁,1号线,衡山路
3620,010005,地铁,1号线,龙山路
3620,010006,地铁,1号线,鞍山路
3620,010007,地铁,1号线,港湾路
3620,010008,地铁,1号线,裕安路
3620,010009,地铁,1号线,武夷山路
3620,01000A,地铁,1号线,港一路
3620,01000B,地铁,1号线,天柱山路
3620,01000C,地铁,1号线,天门山路
3620,01000D,地铁,1号线,赤铸山路
3620,01000E,地铁,1号线,赭山路
3620,01000F,地铁,1号线,赭山公园
3620,010010,地铁,1号线,中山北路
3620,010011,地铁,1号线,鸠兹广场
3620,010012,地铁,1号线,环城北路
3620,010013,地铁,1号线,奥体中心
3620,010014,地铁,1号线,红花山路
3620,010015,地铁,1号线,博览中心
3620,010016,地铁,1号线,文津东路
3620,010017,地铁,1号线,珩琅山路
3620,010018,地铁,1号线,芜湖南站
3620,010019,地铁,1号线,白马山
3620,02,地铁,2号线,
3620,020001,地铁,2号线,万春湖路
3620,020002,地铁,2号线,梦溪路
3620,020003,地铁,2号线,徽州路
3620,020004,地铁,2号线,海晏路
3620,020005,地铁,2号线,政务中心
3620,020006,地铁,2号线,云从路
3620,020007,地铁,2号线,神山公园
3620,020008,地铁,2号线,芜湖火车站
3620,020009,地铁,2号线,神山口
3620,02000A,地铁,2号线,文化路
3620,02000B,地铁,2号线,鸠兹广场
