City,Code,Type,Line,Station
1000,0443,BRT,快速公交1线,
1000,04430001,BRT,快速公交1线,德茂庄
1000,04430002,BRT,快速公交1线,东营房
1000,04430003,BRT,快速公交1线,六营门
1000,04430004,BRT,快速公交1线,东高地
1000,04430005,BRT,快速公交1线,西洼地
1000,04430006,BRT,快速公交1线,三营门
1000,04430007,BRT,快速公交1线,和义南站
1000,04430008,BRT,快速公交1线,和义农场
1000,04430009,BRT,快速公交1线,久敬庄
1000,0443000A,BRT,快速公交1线,大红门桥
1000,0443000B,BRT,快速公交1线,大红门西里
1000,0443000C,BRT,快速公交1线,南苑路果园
1000,0443000D,BRT,快速公交1线,木樨园桥
1000,0443000E,BRT,快速公交1线,沙子口
1000,0443000F,BRT,快速公交1线,永定门内
1000,04430010,BRT,快速公交1线,天坛西门
1000,04430011,BRT,快速公交1线,前门
1000,B3B2,BRT,快速公交2线,
1000,B3B20001,BRT,快速公交2线,杨闸(西行) / 杨闸环岛西(东行)
1000,B3B20002,BRT,快速公交2线,杨闸环岛西(西行) / 管庄(东行)
1000,B3B20003,BRT,快速公交2线,管庄(西行) / 周家井(东行)
1000,B3B20004,BRT,快速公交2线,周家井(西行) / 朝阳路三间房(东行)
1000,B3B20005,BRT,快速公交2线,朝阳路三间房(西行) / 第二外国语学院(东行)
1000,B3B20006,BRT,快速公交2线,第二外国语学院(西行) / 定福庄(东行)
1000,B3B20007,BRT,快速公交2线,定福庄(西行) / 大黄庄桥西(东行)
1000,B3B20008,BRT,快速公交2线,大黄庄桥西(西行) / 民航医院(东行)
1000,B3B20009,BRT,快速公交2线,民航医院(西行) / 太平庄(东行)
1000,B3B2000A,BRT,快速公交2线,太平庄(西行) / 青年路南口(东行)
1000,B3B2000B,BRT,快速公交2线,青年路南口(西行) / 十里堡(东行)
1000,B3B2000C,BRT,快速公交2线,十里堡
1000,B3B2000D,BRT,快速公交2线,东八里庄
1000,B3B2000E,BRT,快速公交2线,慈云寺(西行) / 英家坟(东行)
1000,B3B2000F,BRT,快速公交2线,英家坟(西行) / 红庙路口西(东行)
1000,B3B20010,BRT,快速公交2线,红庙路口西(西行) / 小庄路口东(东行)
1000,B3B20011,BRT,快速公交2线,小庄路口西(西行) / 呼家楼东(东行)
1000,B3B20012,BRT,快速公交2线,呼家楼西 / 东大桥东 / 东大桥
1000,B3B20013,BRT,快速公交2线,朝阳门 / 东大桥
1000,B3B20014,BRT,快速公交2线,朝阳门
1000,B3B3,BRT,快速公交3线,
1000,B3B30001,BRT,快速公交3线,安定门
1000,B3B30002,BRT,快速公交3线,蒋宅口
1000,B3B30003,BRT,快速公交3线,安贞桥北
1000,B3B30004,BRT,快速公交3线,五路居
1000,B3B30005,BRT,快速公交3线,炎黄艺术馆
1000,B3B30006,BRT,快速公交3线,慧忠北里
1000,B3B30007,BRT,快速公交3线,华汇商厦
1000,B3B30008,BRT,快速公交3线,仰山桥南
1000,B3B30009,BRT,快速公交3线,仰山桥北
1000,B3B3000A,BRT,快速公交3线,天乐园小区
1000,B3B3000B,BRT,快速公交3线,立水桥南站
1000,B3B3000C,BRT,快速公交3线,立水桥北站
1000,B3B3000D,BRT,快速公交3线,地铁立水桥站
1000,B3B3000E,BRT,快速公交3线,天通西苑南
1000,B3B3000F,BRT,快速公交3线,天通西苑北
1000,B3B30010,BRT,快速公交3线,天通苑太平庄
1000,B3B30011,BRT,快速公交3线,东三旗南站
1000,B3B30012,BRT,快速公交3线,地铁天通苑北站
1000,B3B30013,BRT,快速公交3线,东三旗
1000,B3B30014,BRT,快速公交3线,平西王府路口南
1000,B3B30015,BRT,快速公交3线,王府温馨公寓
1000,B3B30016,BRT,快速公交3线,平西王府西
1000,B3B30017,BRT,快速公交3线,温都水城
1000,B3B30018,BRT,快速公交3线,宏福苑小区南
1000,B3B30019,BRT,快速公交3线,宏福苑小区西
1000,B3B4,BRT,快速公交4线,
1000,B3B40001,BRT,快速公交4线,龙泉西公交场站
1000,B3B40002,BRT,快速公交4线,中门寺街
1000,B3B40003,BRT,快速公交4线,门头沟教委小区
1000,B3B40004,BRT,快速公交4线,双峪环岛西
1000,B3B40005,BRT,快速公交4线,侯庄子
1000,B3B40006,BRT,快速公交4线,麻峪
1000,B3B40007,BRT,快速公交4线,石景山火车站
1000,B3B40008,BRT,快速公交4线,广宁村
1000,B3B40009,BRT,快速公交4线,金安桥
1000,B3B4000A,BRT,快速公交4线,杨庄
1000,B3B4000B,BRT,快速公交4线,杨庄东
1000,B3B4000C,BRT,快速公交4线,龚村东口
1000,B3B4000D,BRT,快速公交4线,沙石路口
1000,B3B4000E,BRT,快速公交4线,阜玉路口
1000,B3B4000F,BRT,快速公交4线,阜永路口西
1000,B3B40010,BRT,快速公交4线,西钓鱼台
1000,B3B40011,BRT,快速公交4线,白堆子口东/西
1000,B3B40012,BRT,快速公交4线,展览路
1000,B3B40013,BRT,快速公交4线,阜成门
