City,Code,Type,Line,Station
8210,0001,,1号线,
8210,00010020,,1号线,陈官营
8210,00010021,,1号线,深安大桥南
8210,00010022,,1号线,兰州城市学院（省科技馆）
8210,00010023,,1号线,兰州海关
8210,00010024,,1号线,马滩
8210,00010025,,1号线,土门墩
8210,00010026,,1号线,兰州西站北广场
8210,00010027,,1号线,西站什字
8210,00010028,,1号线,七里河
8210,00010029,,1号线,小西湖
8210,00010030,,1号线,文化宫
8210,00010031,,1号线,西关
8210,00010032,,1号线,省政府
8210,00010033,,1号线,东方红广场
8210,00010034,,1号线,兰州大学
8210,00010035,,1号线,五里铺
8210,00010036,,1号线,省气象局
8210,00010037,,1号线,拱星墩
8210,00010038,,1号线,焦家湾
8210,00010039,,1号线,东岗
