City,Code,Type,Line,Station
5880,0042,地铁,2号线,
5880,00420001,地铁,2号线,南庄
5880,00420002,地铁,2号线,湖涌
5880,00420003,地铁,2号线,绿岛湖
5880,00420004,地铁,2号线,智慧新城
5880,00420005,地铁,2号线,张槎
5880,00420006,地铁,2号线,石湾
5880,00420007,地铁,2号线,沙岗
5880,00420008,地铁,2号线,魁奇路
5880,00420009,地铁,2号线,石梁
5880,00420010,地铁,2号线,湾华
5880,00420011,地铁,2号线,登洲
5880,00420012,地铁,2号线,花卉世界
5880,00420013,地铁,2号线,仙涌
5880,00420014,地铁,2号线,石洲
5880,00420015,地铁,2号线,林岳西
5880,00420016,地铁,2号线,林岳东
5880,00420017,地铁,2号线,广州南站
5880,0061,有轨电车,南海有轨电车1号线,
5880,00610001,有轨电车,南海有轨电车1号线,𧒽岗
5880,00610002,有轨电车,南海有轨电车1号线,华翠路
5880,00610003,有轨电车,南海有轨电车1号线,夏西
5880,00610004,有轨电车,南海有轨电车1号线,夏东
5880,00610005,有轨电车,南海有轨电车1号线,康怡公园
5880,00610006,有轨电车,南海有轨电车1号线,平西
5880,00610007,有轨电车,南海有轨电车1号线,平南
5880,00610008,有轨电车,南海有轨电车1号线,玉器街
5880,00610009,有轨电车,南海有轨电车1号线,中区
5880,00610010,有轨电车,南海有轨电车1号线,三山新城北
