City,Code,Type,Line,Station
5810,0001,,1号线,
5810,00010001,,1号线,西塱
5810,00010002,,1号线,坑口
5810,00010003,,1号线,花地湾
5810,00010004,,1号线,芳村
5810,00010005,,1号线,黄沙
5810,00010006,,1号线,长寿路
5810,00010007,,1号线,陈家祠
5810,00010008,,1号线,西门口
5810,00010009,,1号线,公园前
5810,00010010,,1号线,农讲所
5810,00010011,,1号线,烈士陵园
5810,00010012,,1号线,东山口
5810,00010013,,1号线,杨箕
5810,00010014,,1号线,体育西路
5810,00010015,,1号线,体育中心
5810,00010016,,1号线,广州东站
5810,0002,,2号线,
5810,00020009,,2号线,江南西
5810,00020010,,2号线,市二宫
5810,00020011,,2号线,海珠广场
5810,00020012,,2号线,公园前
5810,00020013,,2号线,纪念堂
5810,00020014,,2号线,越秀公园
5810,00020015,,2号线,广州火车站
5810,00020016,,2号线,三元里
5810,00020017,,2号线,飞翔公园
5810,00020018,,2号线,白云公园
5810,00020019,,2号线,白云文化广场
5810,00020020,,2号线,萧岗
5810,00020021,,2号线,江夏
5810,00020022,,2号线,黄边
5810,00020023,,2号线,嘉禾望岗
5810,00020041,,2号线,昌岗
5810,00020042,,2号线,江泰路
5810,00020043,,2号线,东晓南
5810,00020044,,2号线,南洲
5810,00020045,,2号线,洛溪
5810,00020046,,2号线,南浦
5810,00020047,,2号线,会江
5810,00020048,,2号线,石壁
5810,00020049,,2号线,广州南站
5810,0030,,3号线,
5810,00300001,,3号线,机场北
5810,00300002,,3号线,机场南
5810,00300003,,3号线,高增
5810,00300004,,3号线,人和
5810,00300005,,3号线,龙归
5810,00300006,,3号线,白云大道北
5810,00300007,,3号线,永泰
5810,00300008,,3号线,同和
5810,00300009,,3号线,京溪南方医院
5810,00300010,,3号线,梅花园
5810,00300011,,3号线,燕塘
5810,0003,,3号线,
5810,00030001,,3号线,广州东站
5810,00030002,,3号线,林和西
5810,00030003,,3号线,体育西路
5810,00030004,,3号线,珠江新城
5810,00030005,,3号线,广州塔
5810,00030006,,3号线,客村
5810,00030007,,3号线,大塘
5810,00030008,,3号线,沥滘
5810,00030009,,3号线,厦滘
5810,00030010,,3号线,大石
5810,00030011,,3号线,汉溪长隆
5810,00030012,,3号线,市桥
5810,00030013,,3号线,番禺广场
5810,00030014,,3号线,天河客运站
5810,00030015,,3号线,五山
5810,00030016,,3号线,华师
5810,00030017,,3号线,岗顶
5810,00030018,,3号线,石牌桥
5810,0004,,4号线,
5810,00040005,,4号线,黄村
5810,00040006,,4号线,车陂
5810,00040007,,4号线,车陂南
5810,00040008,,4号线,万胜围
5810,00040009,,4号线,官洲
5810,00040010,,4号线,大学城北
5810,00040011,,4号线,大学城南
5810,00040012,,4号线,新造
5810,00040013,,4号线,石碁
5810,00040014,,4号线,海傍
5810,00040015,,4号线,低涌
5810,00040016,,4号线,东涌
5810,00040027,,4号线,庆盛
5810,00040017,,4号线,黄阁汽车城
5810,00040018,,4号线,黄阁
5810,00040019,,4号线,蕉门
5810,00040020,,4号线,金洲
5810,00040021,,4号线,飞沙角
5810,00040022,,4号线,广隆
5810,00040023,,4号线,大涌
5810,00040024,,4号线,塘坑
5810,00040025,,4号线,南横
5810,00040026,,4号线,南沙客运港
5810,0005,,5号线,
5810,00050001,,5号线,滘口
5810,00050002,,5号线,坦尾
5810,00050003,,5号线,中山八
5810,00050004,,5号线,西场
5810,00050005,,5号线,西村
5810,00050006,,5号线,广州火车站
5810,00050007,,5号线,小北
5810,00050008,,5号线,淘金
5810,00050009,,5号线,区庄
5810,00050010,,5号线,动物园
5810,00050011,,5号线,杨箕
5810,00050012,,5号线,五羊邨
5810,00050013,,5号线,珠江新城
5810,00050014,,5号线,猎德
5810,00050015,,5号线,潭村
5810,00050016,,5号线,员村
5810,00050017,,5号线,科韵路
5810,00050018,,5号线,车陂南
5810,00050019,,5号线,东圃
5810,00050020,,5号线,三溪
5810,00050021,,5号线,鱼珠
5810,00050022,,5号线,大沙地
5810,00050023,,5号线,大沙东
5810,00050024,,5号线,文冲
5810,0006,,6号线,
5810,00060001,,6号线,浔峰岗
5810,00060002,,6号线,横沙
5810,00060003,,6号线,沙贝
5810,00060004,,6号线,河沙
5810,00060005,,6号线,坦尾
5810,00060006,,6号线,如意坊
5810,00060007,,6号线,黄沙
5810,00060008,,6号线,文化公园
5810,00060009,,6号线,一德路
5810,00060010,,6号线,海珠广场
5810,00060011,,6号线,北京路
5810,00060012,,6号线,团一大广场
5810,00060013,,6号线,东湖
5810,00060014,,6号线,东山口
5810,00060015,,6号线,区庄
5810,00060016,,6号线,黄花岗
5810,00060017,,6号线,沙河顶
5810,00060018,,6号线,沙河
5810,00060019,,6号线,天平架
5810,00060020,,6号线,燕塘
5810,00060021,,6号线,天河客运站
5810,00060022,,6号线,长湴
5810,00060023,,6号线,植物园
5810,00060024,,6号线,龙洞
5810,00060025,,6号线,柯木塱
5810,00060026,,6号线,高塘石
5810,00060027,,6号线,黄陂
5810,00060028,,6号线,金峰
5810,00060029,,6号线,暹岗
5810,00060030,,6号线,苏元
5810,00060031,,6号线,萝岗
5810,00060032,,6号线,香雪
5810,0007,,7号线,
5810,00070001,,7号线,广州南站
5810,00070002,,7号线,石壁
5810,00070003,,7号线,谢村
5810,00070004,,7号线,钟村
5810,00070005,,7号线,汉溪长隆
5810,00070006,,7号线,南村万博
5810,00070007,,7号线,员岗
5810,00070008,,7号线,板桥
5810,00070009,,7号线,大学城南
5810,0008,,8号线,
5810,00080001,,8号线,石井
5810,00080002,,8号线,小坪
5810,00080003,,8号线,石潭
5810,00080004,,8号线,聚龙
5810,00080005,,8号线,上步
5810,00080006,,8号线,同德
5810,00080007,,8号线,鹅掌坦
5810,00080008,,8号线,西村
5810,00080009,,8号线,彩虹桥
5810,00080010,,8号线,陈家祠
5810,00080011,,8号线,华林寺
5810,00080012,,8号线,文化公园
5810,00080013,,8号线,同福西
5810,00080014,,8号线,凤凰新村
5810,00080015,,8号线,沙园
5810,00080016,,8号线,宝岗大道
5810,00080017,,8号线,昌岗
5810,00080018,,8号线,晓港
5810,00080019,,8号线,中大
5810,00080020,,8号线,鹭江
5810,00080021,,8号线,客村
5810,00080022,,8号线,赤岗
5810,00080023,,8号线,磨碟沙
5810,00080024,,8号线,新港东
5810,00080025,,8号线,琶洲
5810,00080026,,8号线,万胜围
5810,00080027,,8号线,亭岗
5810,00080028,,8号线,滘心
5810,0009,,9号线,
5810,00090001,,9号线,飞鹅岭
5810,00090002,,9号线,花都汽车城
5810,00090003,,9号线,广州北站
5810,00090004,,9号线,花城路
5810,00090005,,9号线,花果山公园
5810,00090006,,9号线,花都广场
5810,00090007,,9号线,马鞍山公园
5810,00090008,,9号线,莲塘
5810,00090009,,9号线,清㘵
5810,00090010,,9号线,清塘
5810,00090011,,9号线,高增
5810,0013,,13号线,
5810,00130001,,13号线,鱼珠
5810,00130002,,13号线,裕丰围
5810,00130003,,13号线,双岗
5810,00130004,,13号线,南海神庙
5810,00130005,,13号线,夏园
5810,00130006,,13号线,南岗
5810,00130007,,13号线,沙村
5810,00130008,,13号线,白江
5810,00130009,,13号线,新塘
5810,00130010,,13号线,官湖
5810,00130011,,13号线,新沙
5810,0014,,14号线,
5810,00140001,,14号线,东风
5810,00140002,,14号线,从化客运站
5810,00140003,,14号线,赤草
5810,00140004,,14号线,神岗
5810,00140005,,14号线,太平
5810,00140006,,14号线,新和
5810,00140007,,14号线,马沥
5810,00140008,,14号线,钟落潭
5810,00140009,,14号线,竹料
5810,00140010,,14号线,太和
5810,00140011,,14号线,夏良
5810,00140012,,14号线,白云东平
5810,00140013,,14号线,嘉禾望岗
5810,0032,,14号线,
5810,00320001,,14号线,新和
5810,00320002,,14号线,红卫
5810,00320003,,14号线,新南
5810,00320004,,14号线,枫下
5810,00320005,,14号线,知识城
5810,00320006,,14号线,何棠下
5810,00320007,,14号线,旺村
5810,00320008,,14号线,汤村
5810,00320009,,14号线,镇龙北
5810,00320010,,14号线,镇龙
5810,0021,,21号线,
5810,00210001,,21号线,员村
5810,00210002,,21号线,天河公园
5810,00210003,,21号线,棠东
5810,00210004,,21号线,黄村
5810,00210005,,21号线,大观南路
5810,00210006,,21号线,天河智慧城
5810,00210007,,21号线,神舟路
5810,00210008,,21号线,科学城
5810,00210009,,21号线,苏元
5810,00210010,,21号线,水西
5810,00210011,,21号线,长平
5810,00210012,,21号线,金坑
5810,00210013,,21号线,镇龙西
5810,00210014,,21号线,镇龙
5810,00210015,,21号线,中新
5810,00210016,,21号线,坑贝
5810,00210017,,21号线,凤岗
5810,00210018,,21号线,朱村
5810,00210019,,21号线,山田
5810,00210020,,21号线,钟岗
5810,00210021,,21号线,增城广场
5810,0060,,广佛线,
5810,00600001,,广佛线,魁奇路
5810,00600002,,广佛线,季华园
5810,00600003,,广佛线,同济路
5810,00600004,,广佛线,祖庙
5810,00600005,,广佛线,普君北路
5810,00600006,,广佛线,朝安
5810,00600007,,广佛线,桂城
5810,00600008,,广佛线,南桂路
5810,00600009,,广佛线,𧒽岗
5810,00600010,,广佛线,千灯湖
5810,00600011,,广佛线,金融高新区
5810,00600012,,广佛线,龙溪
5810,00600013,,广佛线,菊树
5810,00600014,,广佛线,西塱
5810,00600015,,广佛线,鹤洞
5810,00600016,,广佛线,沙涌
5810,00600017,,广佛线,沙园
5810,00600018,,广佛线,燕岗
5810,00600019,,广佛线,石溪
5810,00600020,,广佛线,南洲
5810,00600021,,广佛线,沥滘
5810,00600022,,广佛线,澜石
5810,00600023,,广佛线,世纪莲
5810,00600024,,广佛线,东平
5810,00600025,,广佛线,新城东
5810,0068,,APM线,
5810,00680001,,APM线,林和西
5810,00680002,,APM线,体育中心南
5810,00680003,,APM线,天河南
5810,00680004,,APM线,黄埔大道
5810,00680005,,APM线,妇儿中心
5810,00680006,,APM线,花城大道
5810,00680007,,APM线,大剧院
5810,00680008,,APM线,海心沙
5810,00680009,,APM线,广州塔
5810,0070,,广清城际,
5810,00700001,,广清城际,清城
5810,00700002,,广清城际,龙塘镇
5810,00700003,,广清城际,银盏
5810,00700004,,广清城际,狮岭
5810,00700005,,广清城际,乐同
5810,00700006,,广清城际,花都
5810,0071,,广州东环城际,
5810,00710001,,广州东环城际,花城街
5810,00710002,,广州东环城际,花山镇
5810,00710003,,广州东环城际,白云机场北
5810,0080,海珠有轨电车,,
5810,0090,黄埔有轨电车,,
