Prefix,Code,Type,Line,Station
0100,00163423,,,天河客运站
0100,00163424,,,天河客运站
0100,00163425,,,天河客运站
0100,00163426,,,天河客运站
0100,00163427,,,珠江新城
0100,00163429,,,天河客运站
0100,00163430,,,天河客运站
0100,00163431,,,五山
0100,00163432,,,五山
0100,00163433,,,五山
0100,00163434,,,五山
0100,00163435,,,五山
0100,00163436,,,五山
0100,00163437,,,五山
0100,00163438,,,五山
0100,00163439,,,五山
0100,00163440,,,五山
0100,00163441,,,五山
0100,00163442,,,五山
0100,00163443,,,五山
0100,00163444,,,五山
0100,00163445,,,五山
0100,00163446,,,五山
0100,00163447,,,永泰
0100,00163448,,,永泰
0100,00163449,,,永泰
0100,00163450,,,永泰
0100,00163451,,,永泰
0100,00163452,,,永泰
0100,00163453,,,永泰
0100,00163454,,,永泰
0100,00163455,,,番禺广场
0100,00163456,,,番禺广场
0100,00163457,,,番禺广场
0100,00163458,,,番禺广场
0100,00163459,,,番禺广场
0100,00163460,,,番禺广场
0100,00163461,,,番禺广场
0100,00163462,,,番禺广场
0100,00163463,,,汉溪长隆
0100,00163464,,,汉溪长隆
0100,00163465,,,汉溪长隆
0100,00163466,,,汉溪长隆
0100,00163467,,,汉溪长隆
0100,00163468,,,汉溪长隆
0100,00163469,,,汉溪长隆
0100,00163470,,,汉溪长隆
0100,00163471,,,汉溪长隆
0100,00163472,,,汉溪长隆
0100,00163473,,,汉溪长隆
0100,00163474,,,汉溪长隆
0100,00163475,,,市桥
0100,00163476,,,市桥
0100,00163477,,,市桥
0100,00163478,,,市桥
0100,00163479,,,市桥
0100,00163480,,,市桥
0100,00163481,,,市桥
0100,00163482,,,市桥
0100,00163483,,,市桥
0100,00163484,,,市桥
0100,00163485,,,市桥
0100,00163486,,,市桥
0100,00163487,,,大石
0100,00163488,,,大石
0100,00163489,,,大石
0100,00163490,,,大石
0100,00163491,,,大石
0100,00163492,,,大石
0100,00163493,,,大石
0100,00163494,,,大石
0100,00163495,,,大石
0100,00163496,,,大石
0100,00163497,,,大石
0100,00163498,,,大石
0100,00163499,,,厦滘
0100,00163500,,,厦滘
0100,00163501,,,厦滘
0100,00163502,,,厦滘
0100,00163503,,,厦滘
0100,00163504,,,厦滘
0100,00163505,,,厦滘
0100,00163506,,,厦滘
0100,00163507,,,厦滘
0100,00163508,,,厦滘
0100,00163509,,,厦滘
0100,00163510,,,厦滘
0100,00163511,,,沥滘
0100,00163512,,,沥滘
0100,00163513,,,沥滘
0100,00163514,,,沥滘
0100,00163515,,,沥滘
0100,00163516,,,沥滘
0100,00163517,,,沥滘
0100,00163518,,,沥滘
0100,00163519,,,大塘
0100,00163520,,,大塘
0100,00163521,,,大塘
0100,00163522,,,大塘
0100,00163523,,,大塘
