City,Code,Type,Line,Station
5180,2,公交,,
5180,20,公交,东部公交,
5180,24,公交,西部公汽,
5180,26,公交,新通宝运输,
5180,27,公交,金华南巴士,
5180,3,公交,,
5180,31,公交,巴士集团,
5180,35,公交,华程交通,
5180,36,有轨电车,,
5180,37,公交,恒誉光明,
5180,4,地铁,,
5180,40,地铁,10号线,
5180,40011,地铁,10号线,福田口岸
5180,40012,地铁,10号线,福民
5180,40013,地铁,10号线,岗厦
5180,40014,地铁,10号线,岗厦北
5180,40015,地铁,10号线,莲花村
5180,40016,地铁,10号线,冬瓜岭
5180,40017,地铁,10号线,孖岭
5180,40018,地铁,10号线,雅宝
5180,40019,地铁,10号线,南坑
5180,40020,地铁,10号线,光雅园
5180,40021,地铁,10号线,五和
5180,40022,地铁,10号线,坂田北
5180,40023,地铁,10号线,贝尔路
5180,40024,地铁,10号线,华为
5180,40025,地铁,10号线,岗头
5180,40026,地铁,10号线,雪象
5180,40027,地铁,10号线,甘坑
5180,40028,地铁,10号线,凉帽山
5180,40029,地铁,10号线,上李朗
5180,40030,地铁,10号线,木古
5180,40031,地铁,10号线,华南城
5180,40032,地铁,10号线,禾花
5180,40033,地铁,10号线,平湖
5180,40034,地铁,10号线,双拥街
5180,41,地铁,11号线,
5180,41011,地铁,11号线,福田
5180,41012,地铁,11号线,车公庙
5180,41013,地铁,11号线,红树湾南
5180,41014,地铁,11号线,后海
5180,41015,地铁,11号线,南山
5180,41016,地铁,11号线,前海湾
5180,41017,地铁,11号线,宝安
5180,41018,地铁,11号线,碧海湾
5180,41019,地铁,11号线,机场
5180,41020,地铁,11号线,机场北
5180,41021,地铁,11号线,福永
5180,41022,地铁,11号线,桥头
5180,41023,地铁,11号线,塘尾
5180,41024,地铁,11号线,马安山
5180,41025,地铁,11号线,沙井
5180,41026,地铁,11号线,后亭
5180,41027,地铁,11号线,松岗
5180,41028,地铁,11号线,碧头
5180,5,公交,,
5180,50,公交,横岗汽运,
5180,56,公交,大鹏海滨,
5180,59,公交,中南巴士,
5180,6,地铁,,
5180,60,地铁,2号线,
5180,60011,地铁,2号线,赤湾
5180,60012,地铁,2号线,蛇口港
5180,60013,地铁,2号线,海上世界
5180,60014,地铁,2号线,水湾
5180,60015,地铁,2号线,东角头
5180,60016,地铁,2号线,湾厦
5180,60017,地铁,2号线,海月
5180,60018,地铁,2号线,登良
5180,60019,地铁,2号线,后海
5180,60020,地铁,2号线,科苑
5180,60021,地铁,2号线,红树湾
5180,60022,地铁,2号线,世界之窗
5180,60023,地铁,2号线,侨城北
5180,60024,地铁,2号线,深康
5180,60025,地铁,2号线,安托山
5180,60026,地铁,2号线,侨香
5180,60027,地铁,2号线,香蜜
5180,60028,地铁,2号线,香梅北
5180,60029,地铁,2号线,景田
5180,60030,地铁,2号线,莲花西
5180,60031,地铁,2号线,福田
5180,60032,地铁,2号线,市民中心
5180,60033,地铁,2号线,岗厦北
5180,60034,地铁,2号线,华强北
5180,60035,地铁,2号线,燕南
5180,60036,地铁,2号线,大剧院
5180,60037,地铁,2号线,湖贝
5180,60038,地铁,2号线,黄贝岭
5180,60039,地铁,2号线,新秀
5180,60040,地铁,2号线,莲塘口岸
5180,60041,地铁,2号线,仙湖路
5180,60042,地铁,2号线,莲塘
5180,61,地铁,3号线,
5180,61002,地铁,3号线,福保
