City,Code,Type,Line,Station
5180,20,,东部公交,
5180,24,,西部公汽,
5180,26,,新通宝运输,
5180,27,,金华南巴士,
5180,31,,巴士集团,
5180,35,,华程交通,
5180,37,,恒誉光明,
5180,40,,10号线,
5180,40011,,10号线,福田口岸
5180,40012,,10号线,福民
5180,40013,,10号线,岗厦
5180,40014,,10号线,岗厦北
5180,40015,,10号线,莲花村
5180,40016,,10号线,冬瓜岭
5180,40017,,10号线,孖岭
5180,40018,,10号线,雅宝
5180,40019,,10号线,南坑
5180,40020,,10号线,光雅园
5180,40021,,10号线,五和
5180,40022,,10号线,坂田北
5180,40023,,10号线,贝尔路
5180,40024,,10号线,华为
5180,40025,,10号线,岗头
5180,40026,,10号线,雪象
5180,40027,,10号线,甘坑
5180,40028,,10号线,凉帽山
5180,40029,,10号线,上李朗
5180,40030,,10号线,木古
5180,40031,,10号线,华南城
5180,40032,,10号线,禾花
5180,40033,,10号线,平湖
5180,40034,,10号线,双拥街
5180,41,,11号线,
5180,41011,,11号线,福田
5180,41012,,11号线,车公庙
5180,41013,,11号线,红树湾南
5180,41014,,11号线,后海
5180,41015,,11号线,南山
5180,41016,,11号线,前海湾
5180,41017,,11号线,宝安
5180,41018,,11号线,碧海湾
5180,41019,,11号线,机场
5180,41020,,11号线,机场北
5180,41021,,11号线,福永
5180,41022,,11号线,桥头
5180,41023,,11号线,塘尾
5180,41024,,11号线,马安山
5180,41025,,11号线,沙井
5180,41026,,11号线,后亭
5180,41027,,11号线,松岗
5180,41028,,11号线,碧头
5180,50,,横岗汽运,
5180,56,,大鹏海滨,
5180,59,,中南巴士,
5180,60,,2号线,
5180,60011,,2号线,赤湾
5180,60012,,2号线,蛇口港
5180,60013,,2号线,海上世界
5180,60014,,2号线,水湾
5180,60015,,2号线,东角头
5180,60016,,2号线,湾厦
5180,60017,,2号线,海月
5180,60018,,2号线,登良
5180,60019,,2号线,后海
5180,60020,,2号线,科苑
5180,60021,,2号线,红树湾
5180,60022,,2号线,世界之窗
5180,60023,,2号线,侨城北
5180,60024,,2号线,深康
5180,60025,,2号线,安托山
5180,60026,,2号线,侨香
5180,60027,,2号线,香蜜
5180,60028,,2号线,香梅北
5180,60029,,2号线,景田
5180,60030,,2号线,莲花西
5180,60031,,2号线,福田
5180,60032,,2号线,市民中心
5180,60033,,2号线,岗厦北
5180,60034,,2号线,华强北
5180,60035,,2号线,燕南
5180,60036,,2号线,大剧院
5180,60037,,2号线,湖贝
5180,60038,,2号线,黄贝岭
5180,60039,,2号线,新秀
5180,60040,,2号线,莲塘口岸
5180,60041,,2号线,仙湖路
5180,60042,,2号线,莲塘
5180,61,,3号线,
5180,61002,,3号线,福保
5180,61003,,3号线,益田
5180,61004,,3号线,石厦
5180,61005,,3号线,购物公园
5180,61006,,3号线,福田
5180,61007,,3号线,少年宫
5180,61008,,3号线,莲花村
5180,61009,,3号线,华新
5180,61010,,3号线,通新岭
5180,61011,,3号线,红岭
5180,61012,,3号线,老街
5180,61013,,3号线,晒布
5180,61014,,3号线,翠竹
5180,61015,,3号线,田贝
5180,61016,,3号线,水贝
5180,61017,,3号线,草埔
5180,61018,,3号线,布吉
5180,61019,,3号线,木棉湾
5180,61020,,3号线,大芬
5180,61021,,3号线,丹竹头
5180,61022,,3号线,六约
