City,Code,Type,Line,Station
2610,01,地铁,1号线,
2610,01FF01,地铁,1号线,哈尔滨南站
2610,01FF02,地铁,1号线,哈达
2610,01FF03,地铁,1号线,医大二院
2610,01FF04,地铁,1号线,黑龙江大学
2610,01FF05,地铁,1号线,理工大学
2610,01FF06,地铁,1号线,学府路
2610,01FF07,地铁,1号线,和兴路
2610,01FF08,地铁,1号线,西大桥
2610,01FF09,地铁,1号线,哈工大
2610,01FF0A,地铁,1号线,铁路局
2610,01FF0B,地铁,1号线,博物馆
2610,01FF0C,地铁,1号线,医大一院
2610,01FF0D,地铁,1号线,烟厂
2610,01FF0E,地铁,1号线,工程大学
2610,01FF0F,地铁,1号线,太平桥
2610,01FF10,地铁,1号线,交通学院
2610,01FF11,地铁,1号线,桦树街
2610,01FF12,地铁,1号线,哈尔滨东站
2610,01FF56,地铁,1号线,新疆大街
2610,01FF57,地铁,1号线,渤海路
2610,01FF58,地铁,1号线,镜泊路
2610,01FF59,地铁,1号线,瓦盆窑
2610,01FF5A,地铁,1号线,同江路
2610,03,地铁,3号线,
2610,03FF01,地铁,3号线,城乡路
2610,03FF02,地铁,3号线,哈尔滨西站
2610,03FF03,地铁,3号线,凯盛源广场
2610,03FF04,地铁,3号线,哈西大街
2610,03FF05,地铁,3号线,医大二院
