City,Code,Type,Line,Station
5510,01,,1号线,
5510,010001,,1号线,尚双塘
5510,010002,,1号线,中信广场
5510,010003,,1号线,大托
5510,010004,,1号线,桂花坪
5510,010005,,1号线,省政府
5510,010006,,1号线,友谊路
5510,010007,,1号线,铁道学院
5510,010008,,1号线,涂家冲
5510,010009,,1号线,黄土岭
5510,010010,,1号线,南湖路
5510,010011,,1号线,侯家塘
5510,010012,,1号线,南门口
5510,010013,,1号线,黄兴广场
5510,010014,,1号线,五一广场
5510,010015,,1号线,培元桥
5510,010016,,1号线,文昌阁
5510,010017,,1号线,开福寺
5510,010018,,1号线,北辰三角洲
5510,010019,,1号线,马厂
5510,010020,,1号线,开福区政府
5510,01000101,,1号线,尚双塘
5510,01000102,,1号线,中信广场
5510,01000103,,1号线,大托
5510,01000104,,1号线,桂花坪
5510,01000105,,1号线,省政府
5510,01000106,,1号线,友谊路
5510,01000107,,1号线,铁道学院
5510,01000108,,1号线,涂家冲
5510,01000109,,1号线,黄土岭
5510,0100010A,,1号线,南湖路
5510,0100010B,,1号线,侯家塘
5510,0100010C,,1号线,南门口
5510,0100010D,,1号线,黄兴广场
5510,0100010E,,1号线,五一广场
5510,0100010F,,1号线,培元桥
5510,01000110,,1号线,文昌阁
5510,01000111,,1号线,开福寺
5510,01000112,,1号线,北辰三角洲
5510,01000113,,1号线,马厂
5510,01000114,,1号线,开福区政府
5510,02,,2号线,
5510,020001,,2号线,望城坡
5510,020002,,2号线,金星路
5510,020003,,2号线,西湖公园
5510,020004,,2号线,溁湾镇
5510,020005,,2号线,橘子洲
5510,020006,,2号线,湘江中路
5510,020007,,2号线,五一广场
5510,020008,,2号线,芙蓉广场
5510,020009,,2号线,迎宾路口
5510,020010,,2号线,袁家岭
5510,020011,,2号线,长沙火车站
5510,020012,,2号线,锦泰广场
5510,020013,,2号线,万家丽广场
5510,020014,,2号线,人民东路
5510,020015,,2号线,长沙大道
5510,020016,,2号线,沙湾公园
5510,020017,,2号线,杜花路
5510,020018,,2号线,长沙火车南站
5510,020019,,2号线,光达
5510,020020,,2号线,梅溪湖东
5510,020021,,2号线,文化艺术中心
5510,020022,,2号线,麓云路
5510,020023,,2号线,梅溪湖西
5510,03,,3号线,
5510,030001,,3号线,山塘
5510,030002,,3号线,洋湖湿地
5510,030003,,3号线,洋湖新城
5510,030004,,3号线,阳光
5510,030005,,3号线,中南大学
5510,030006,,3号线,阜埠河
5510,030007,,3号线,灵官渡
5510,030008,,3号线,侯家塘
5510,030009,,3号线,东塘
5510,030010,,3号线,桂花公园
5510,030011,,3号线,阿弥岭
5510,030012,,3号线,朝阳村
5510,030013,,3号线,长沙火车站
5510,030014,,3号线,烈士公园东
5510,030015,,3号线,丝茅冲
5510,030016,,3号线,四方坪
5510,030017,,3号线,雅雀湖
5510,030018,,3号线,长沙大学
5510,030019,,3号线,月湖公园北
5510,030020,,3号线,湘龙
5510,030021,,3号线,星沙
5510,030022,,3号线,松雅湖（南）
5510,030023,,3号线,星沙文体中心
5510,030024,,3号线,螺丝塘
5510,030025,,3号线,广生
5510,03000301,,3号线,山塘
5510,03000302,,3号线,洋湖湿地
5510,03000303,,3号线,洋湖新城
5510,03000304,,3号线,阳光
5510,03000305,,3号线,中南大学
5510,03000306,,3号线,阜埠河
5510,03000307,,3号线,灵官渡
5510,03000308,,3号线,侯家塘
5510,03000309,,3号线,东塘
5510,0300030A,,3号线,桂花公园
5510,0300030B,,3号线,阿弥岭
5510,0300030C,,3号线,朝阳村
5510,0300030D,,3号线,长沙火车站
5510,0300030E,,3号线,烈士公园东
5510,0300030F,,3号线,丝茅冲
5510,03000310,,3号线,四方坪
5510,03000311,,3号线,雅雀湖
5510,03000312,,3号线,长沙大学
5510,03000313,,3号线,月湖公园北
5510,03000314,,3号线,湘龙
5510,03000315,,3号线,星沙
5510,03000316,,3号线,松雅湖（南）
5510,03000317,,3号线,星沙文体中心
5510,03000318,,3号线,螺丝塘
5510,03000319,,3号线,广生
5510,04,,4号线,
5510,040001,,4号线,罐子岭
5510,040002,,4号线,月亮岛西
5510,040003,,4号线,湘江新城
5510,040004,,4号线,汉王陵公园
5510,040005,,4号线,福元大桥西
5510,040006,,4号线,茶子山
5510,040007,,4号线,观沙岭
5510,040008,,4号线,六沟垅
5510,040009,,4号线,望月湖
5510,040010,,4号线,溁湾镇
5510,040011,,4号线,湖南师大
5510,040012,,4号线,湖南大学
5510,040013,,4号线,阜埠河
5510,040014,,4号线,碧沙湖
5510,040015,,4号线,黄土岭
5510,040016,,4号线,砂子塘
5510,040017,,4号线,赤岗岭
5510,040018,,4号线,树木岭
5510,040019,,4号线,圭塘
5510,040020,,4号线,沙湾公园
5510,040021,,4号线,粟塘
5510,040022,,4号线,平阳
5510,040023,,4号线,长沙火车南站
5510,040024,,4号线,光达
5510,040025,,4号线,杜家坪
5510,3C,,磁浮快线,
5510,3C003C01,,磁浮快线,磁浮高铁
5510,3C003C02,,磁浮快线,磁浮㮾梨
5510,3C003C03,,磁浮快线,磁浮机场
