City,Code,Type,Line,Station,Station-en
3010,413100010030,自行车,主城,软件谷管委会,Software Valley Management Committee
3010,413100013449,自行车,江北,文教中心,Culture and Education Center
3010,413100013454,自行车,江北,工业大学站东,East Nanjing Tech University Metro Station
3010,413100013455,自行车,江北,财政局,Pukou Finance Bureau
3010,413100013456,自行车,江北,金雁湖南,South Jinyan Lake
3010,413100013488,自行车,江北,南江新寓,Nanjiang Xinyu
3010,413100013489,自行车,江北,柳洲东路地铁站2号口,Liuzhoudonglu Metro Exit 2
3010,413100013497,自行车,江北,珠泉市场,Zhuquan Market
3010,413100013503,自行车,江北,龙华路2号口,Longhualu Metro Exit 2
3010,413100013505,自行车,江北,明发云庭西门,West Gate of Mingfa Yunting
3010,413100013506,自行车,江北,雨山美地,Yushan Meidi
3010,413100013507,自行车,江北,北江豪庭,Beijiang Haoting
3010,413100013518,自行车,江北,西水湾北,North Xishuiwan
3010,413100013525,自行车,江北,雨山路5号口,Yushanlu Metro Exit 5
3010,413100013566,自行车,江北,天润城八街区,8th Block of Tianruncheng
3010,413100013567,自行车,江北,百润西路苏果店,"Bairunxilu,Suguo Store"
3010,413100013568,自行车,江北,红太阳小学,Hongtaiyang Primary School
3010,413100013571,自行车,江北,柳洲东路好又多,"Liuzhoudonglu,Haoyouduo Mart"
3010,413100013586,自行车,江北,新一城,Xinyicheng
3010,413100013599,自行车,江北,新理想东,East Xinlixiang
3010,413100013603,自行车,江北,鼎业花苑,Dingye Huayuan
3010,413100013604,自行车,江北,凤凰花园,Fenghuang Huayuan
3010,413100013613,自行车,江北,青奥公园南,South Youth Olympic Park
3010,413100013614,自行车,江北,青奥公园东,East Youth Olympic Park
3010,413100013616,自行车,江北,临江路站1号口,Linliang Metro Exit 1
3010,413100023652,自行车,主城,雨花门地铁2号口,Yuhuamen Metro Exit 2
3010,413100023716,自行车,主城,丁村小区南,South Dingcun Community
3010,413100023722,自行车,主城,白鹭东苑东,East Bailu Dongyuan
3010,413100023741,自行车,主城,明发广场西,West Mingfaguangchang
3010,413100025768,自行车,主城,徐庄先声药业,Xuzhuang Simcare Pharmaceutical
3010,413100025771,自行车,主城,中华门城堡东,East China Gate Castle
3010,413100025773,自行车,主城,张府园地铁3号口,Zhangfuyuan Metro Exit 3
3010,413100025795,自行车,主城,安德门地铁站东,East Andemen Metro Station
3010,413100025964,自行车,主城,文竹路,Wenzhulu
3010,413100025965,自行车,主城,花神美境南,South Huashen Meijing
3010,413100025966,自行车,主城,仁恒翠竹园南,South Renheng Cuizhuyuan
3010,413100026011,自行车,主城,景明佳园西,West Jingming Jiayuan
3010,413100026013,自行车,主城,长虹路北,North Changhonglu
3010,413100026014,自行车,主城,新城逸境西门,West Gate of Xincheng Yijing
3010,413100026020,自行车,主城,集庆门副食品市场,Jiqingmen Non-staple Food Market
3010,413100026023,自行车,主城,欢喜城,Huanxicheng
3010,413100026024,自行车,主城,左邻风度西门,West Gate of Zuolin Fengdu
3010,413100026073,自行车,主城,天隆寺地铁站,Tianlongsi Metro Station
3010,413100026121,自行车,主城,苏豪集团北,North Suhao Group
3010,413100026131,自行车,主城,南站玉兰路西,South Railway Station West Yulanlu
3010,413100026141,自行车,主城,宏图上水园北,North Hongtu Shangshuiyuan
3010,413100026152,自行车,主城,宏图上水园南,South Hongtu Shangshuiyuan
3010,413100026157,自行车,主城,清凉山公园,Qingliangshan Park
3010,413100026159,自行车,主城,花神大道华为东门,Huashendadao East Gate of Huawei
3010,413100027980,自行车,主城,公教一村南,South Gongjiao Yicun
3010,413100028056,自行车,主城,南京女子监狱,Nanjing Women's Prison
3010,413100028085,自行车,主城,丰盛集团,Fullshare Group
