City,Code,Type,Line,Station
3010,0004,地铁,10号线,
3010,00040001,地铁,10号线,奥体中心
3010,00040002,地铁,10号线,元通
3010,00040003,地铁,10号线,中胜
3010,00040004,地铁,10号线,小行
3010,00040005,地铁,10号线,安德门
3010,0001,地铁,1号线,
3010,00010005,地铁,1号线,安德门
3010,00010006,地铁,1号线,中华门
3010,00010007,地铁,1号线,三山街
3010,00010008,地铁,1号线,张府园
3010,00010009,地铁,1号线,新街口
3010,0001000A,地铁,1号线,珠江路
3010,0001000B,地铁,1号线,鼓楼
3010,0001000C,地铁,1号线,玄武门
3010,0001000D,地铁,1号线,新模范马路
3010,0001000E,地铁,1号线,南京站
3010,0001000F,地铁,1号线,红山动物园
3010,00010010,地铁,1号线,迈皋桥
3010,0002,地铁,2号线,
3010,00020011,地铁,2号线,油坊桥
3010,00020012,地铁,2号线,雨润大街
3010,00020002,地铁,2号线,元通
3010,00020013,地铁,2号线,奥体东
3010,00020014,地铁,2号线,兴隆大街
3010,00020015,地铁,2号线,集庆门大街
3010,00020016,地铁,2号线,云锦路
3010,00020017,地铁,2号线,莫愁湖
3010,00020018,地铁,2号线,汉中门
3010,00020019,地铁,2号线,上海路
3010,00020009,地铁,2号线,新街口
3010,0002001A,地铁,2号线,大行宫
3010,0002001B,地铁,2号线,西安门
3010,0002001C,地铁,2号线,明故宫
3010,0002001D,地铁,2号线,苜蓿园
3010,0002001E,地铁,2号线,下马坊
3010,0002001F,地铁,2号线,孝陵卫
3010,00020020,地铁,2号线,钟灵街
3010,00020021,地铁,2号线,马群
3010,00020022,地铁,2号线,金马路
3010,00020023,地铁,2号线,仙鹤门
3010,00020024,地铁,2号线,学则路
3010,00020025,地铁,2号线,仙林中心
3010,00020026,地铁,2号线,羊山公园
3010,00020027,地铁,2号线,南大仙林校区
3010,00020028,地铁,2号线,经天路
3010,0003,地铁,1号线,
3010,00030029,地铁,1号线,天隆寺
3010,0003002A,地铁,1号线,软件大道
3010,0003002B,地铁,1号线,花神庙
3010,0003002C,地铁,1号线,南京南站
3010,0003002D,地铁,1号线,双龙大道
3010,0003002E,地铁,1号线,河定桥
3010,0003002F,地铁,1号线,胜太路
3010,00030030,地铁,1号线,百家湖
3010,00030031,地铁,1号线,小龙湾
3010,00030032,地铁,1号线,竹山路
3010,00030033,地铁,1号线,天印大道
3010,00030034,地铁,1号线,龙眠大道
3010,00030035,地铁,1号线,南医大·江苏经贸学院
3010,00030036,地铁,1号线,南京交院
3010,00030037,地铁,1号线,中国药科大学
3010,00040038,地铁,10号线,梦都大街
3010,00040039,地铁,10号线,绿博园
3010,0004003A,地铁,10号线,江心洲
3010,0004003B,地铁,10号线,临江·青奥体育公园
3010,0004003C,地铁,10号线,浦口万汇城
3010,0004003D,地铁,10号线,南京工业大学
3010,0004003E,地铁,10号线,龙华路
3010,0004003F,地铁,10号线,文德路
3010,00040040,地铁,10号线,雨山路
3010,0005,地铁,S1线,
3010,0005009F,地铁,S1线,空港新城江宁
3010,00050041,地铁,S1线,禄口机场
3010,00050042,地铁,S1线,翔宇路南
3010,00050043,地铁,S1线,翔宇路北
3010,00050044,地铁,S1线,正方中路
3010,00050045,地铁,S1线,吉印大道
3010,00050046,地铁,S1线,河海大学·佛城西路
3010,00050047,地铁,S1线,翠屏山
3010,0005002C,地铁,S1线,南京南站
3010,0006,地铁,S8线,
3010,00060048,地铁,S8线,泰山新村
3010,00060049,地铁,S8线,泰冯路
3010,0006004A,地铁,S8线,高新开发区
3010,0006004B,地铁,S8线,信息工程大学
3010,0006004C,地铁,S8线,卸甲甸
3010,0006004D,地铁,S8线,大厂
3010,0006004E,地铁,S8线,葛塘
3010,0006004F,地铁,S8线,长芦
3010,00060050,地铁,S8线,化工园
3010,00060051,地铁,S8线,六合开发区
3010,00060052,地铁,S8线,龙池
3010,00060053,地铁,S8线,雄州
3010,00060054,地铁,S8线,凤凰山公园
3010,00060055,地铁,S8线,方州广场
3010,00060056,地铁,S8线,沈桥
3010,00060057,地铁,S8线,八百桥
3010,00060058,地铁,S8线,金牛湖
3010,0007,地铁,3号线,
3010,00070059,地铁,3号线,林场
3010,0007005A,地铁,3号线,星火路
3010,0007005B,地铁,3号线,东大成贤学院
3010,00070049,地铁,3号线,泰冯路
3010,0007005C,地铁,3号线,天润城
3010,0007005D,地铁,3号线,柳洲东路
3010,0007005E,地铁,3号线,上元门
3010,0007005F,地铁,3号线,五塘广场
3010,00070060,地铁,3号线,小市
3010,0007000E,地铁,3号线,南京站
3010,00070061,地铁,3号线,南京林业大学·新庄
3010,00070062,地铁,3号线,鸡鸣寺
3010,00070063,地铁,3号线,浮桥
3010,0007001A,地铁,3号线,大行宫
3010,00070064,地铁,3号线,常府街
3010,00070065,地铁,3号线,夫子庙
3010,00070066,地铁,3号线,武定门
3010,00070067,地铁,3号线,雨花门
3010,00070068,地铁,3号线,卡子门
3010,00070069,地铁,3号线,大明路
3010,0007006A,地铁,3号线,明发广场
3010,0007002C,地铁,3号线,南京南站
3010,0007006B,地铁,3号线,宏运大道
3010,0007006C,地铁,3号线,胜太西路
3010,0007006D,地铁,3号线,天元西路
3010,0007006E,地铁,3号线,九龙湖
3010,0007006F,地铁,3号线,诚信大道
3010,00070070,地铁,3号线,东大九龙湖校区
3010,00070071,地铁,3号线,秣周东路
3010,0008,地铁,4号线,
3010,00080072,地铁,4号线,龙江
3010,00080073,地铁,4号线,南艺·二师·草场门
3010,00080074,地铁,4号线,云南路
3010,0008000B,地铁,4号线,鼓楼
3010,00080062,地铁,4号线,鸡鸣寺
3010,00080075,地铁,4号线,九华山
3010,00080076,地铁,4号线,岗子村
3010,00080077,地铁,4号线,蒋王庙
3010,00080078,地铁,4号线,王家湾
3010,00080079,地铁,4号线,聚宝山
3010,0008007A,地铁,4号线,苏宁总部·徐庄
3010,00080022,地铁,4号线,金马路
3010,0008007B,地铁,4号线,汇通路
3010,0008007C,地铁,4号线,灵山
3010,0008007D,地铁,4号线,东流
3010,0008007E,地铁,4号线,孟北
3010,0008007F,地铁,4号线,西岗桦墅
3010,00080080,地铁,4号线,仙林湖
3010,0009,地铁,S3线,
3010,0009002C,地铁,S3线,南京南站
3010,00090081,地铁,S3线,景明佳园
3010,00090082,地铁,S3线,铁心桥
3010,00090083,地铁,S3线,春江路
3010,00090084,地铁,S3线,贾西
3010,00090011,地铁,S3线,油坊桥
3010,00090085,地铁,S3线,永初路
3010,00090086,地铁,S3线,平良大街
3010,00090087,地铁,S3线,吴侯街
3010,00090088,地铁,S3线,高庙路
3010,00090089,地铁,S3线,天保
3010,0009008A,地铁,S3线,刘村
3010,0009008B,地铁,S3线,马骡圩
3010,0009008C,地铁,S3线,兰花塘
3010,0009008D,地铁,S3线,双垅
3010,0009008E,地铁,S3线,石碛河
3010,0009008F,地铁,S3线,桥林新城
3010,00090090,地铁,S3线,林山
3010,00090091,地铁,S3线,高家冲
3010,000A,地铁,S9线,
3010,000A0092,地铁,S9线,高淳
3010,000A0093,地铁,S9线,团结圩
3010,000A0094,地铁,S9线,明觉
3010,000A0095,地铁,S9线,石湫
3010,000A0096,地铁,S9线,铜山
3010,000A0042,地铁,S9线,翔宇路南
3010,000B,地铁,S7线,
3010,000B0097,地铁,S7线,无想山
3010,000B0098,地铁,S7线,幸庄
3010,000B0099,地铁,S7线,中山湖
3010,000B009A,地铁,S7线,溧水
3010,000B009B,地铁,S7线,卧龙湖
3010,000B009C,地铁,S7线,群力
3010,000B009D,地铁,S7线,空港新城溧水
3010,000B009E,地铁,S7线,柘塘
3010,000B009F,地铁,S7线,空港新城江宁
3010,000200A0,地铁,2号线,鱼嘴
3010,000200A1,地铁,2号线,天保街
3010,000200A2,地铁,2号线,青莲街
3010,000200A3,地铁,2号线,螺塘路
3010,000C,地铁,S6线,
3010,000C0021,地铁,S6线,马群
3010,000C00A4,地铁,S6线,百水桥
3010,000C00A5,地铁,S6线,麒麟门
3010,000C00A6,地铁,S6线,东郊小镇
3010,000C00A7,地铁,S6线,古泉
3010,000C00A8,地铁,S6线,南京猿人洞
3010,000C00A9,地铁,S6线,汤山
3010,000C00AA,地铁,S6线,泉都大街
3010,000C00AB,地铁,S6线,黄梅
3010,000C00AC,地铁,S6线,童世界
3010,000C00AD,地铁,S6线,华阳
3010,000C00AE,地铁,S6线,崇明
3010,000C00AF,地铁,S6线,句容
