City,Code,Type,Line,Station
3020,0100,,1号线,
3020,010001,,1号线,堰桥
3020,010002,,1号线,锡北运河
3020,010003,,1号线,西漳
3020,010004,,1号线,天一
3020,010005,,1号线,刘潭
3020,010006,,1号线,庄前
3020,010007,,1号线,民丰
3020,010008,,1号线,无锡火车站
3020,010009,,1号线,胜利门
3020,01000A,,1号线,三阳广场
3020,01000B,,1号线,南禅寺
3020,01000C,,1号线,谈渡桥
3020,01000D,,1号线,太湖广场
3020,01000E,,1号线,清名桥
3020,01000F,,1号线,人民医院
3020,010010,,1号线,华清大桥
3020,010011,,1号线,扬名
3020,010012,,1号线,南湖家园
3020,010013,,1号线,塘铁桥
3020,010014,,1号线,金匮公园
3020,010015,,1号线,市民中心
3020,010016,,1号线,文化宫
3020,010017,,1号线,江南大学
3020,010018,,1号线,长广溪
3020,010019,,1号线,雪浪
3020,01001A,,1号线,葛埭桥
3020,01001B,,1号线,南方泉
3020,0200,,2号线,
3020,020001,,2号线,梅园开原寺
3020,020002,,2号线,荣巷
3020,020003,,2号线,小桃源
3020,020004,,2号线,河埒口
3020,020005,,2号线,大王基
3020,020006,,2号线,梁溪大桥
3020,020007,,2号线,五爱广场
3020,020008,,2号线,三阳广场
3020,020009,,2号线,东林广场
3020,02000A,,2号线,上马墩
3020,02000B,,2号线,靖海
3020,02000C,,2号线,广益
3020,02000D,,2号线,柏庄
3020,02000E,,2号线,东亭
3020,02000F,,2号线,庄桥
3020,020010,,2号线,云林
3020,020011,,2号线,九里河公园
3020,020012,,2号线,查桥
3020,020013,,2号线,映月湖公园
3020,020014,,2号线,迎宾广场
3020,020015,,2号线,无锡东站
3020,020016,,2号线,安镇
3020,0300,,3号线,
3020,030015,,3号线,苏庙
3020,030016,,3号线,钱桥
3020,030017,,3号线,龙山梢
3020,030018,,3号线,石门路
3020,030019,,3号线,盛岸
3020,03001A,,3号线,吴桥
3020,03001B,,3号线,北栅口
3020,03001C,,3号线,无锡火车站
3020,03001D,,3号线,广瑞
3020,03001E,,3号线,靖海
3020,03001F,,3号线,东风
3020,030020,,3号线,叙丰
3020,030021,,3号线,太湖花园
3020,030022,,3号线,新光路
3020,030023,,3号线,旺庄路
3020,030024,,3号线,黄山路
3020,030025,,3号线,高浪东路
3020,030026,,3号线,周泾巷
3020,030027,,3号线,无锡新区站
3020,030028,,3号线,长江南路
3020,030029,,3号线,硕放机场
