City,Code,Type,Line,Station
3030,0001,地铁,1号线,
3030,00010021,地铁,1号线,路窝
3030,00010022,地铁,1号线,杏山子
3030,00010023,地铁,1号线,韩山
3030,00010024,地铁,1号线,工农路
3030,00010025,地铁,1号线,人民广场
3030,00010026,地铁,1号线,苏堤路
3030,00010027,地铁,1号线,徐医附院
3030,00010028,地铁,1号线,彭城广场
3030,00010029,地铁,1号线,民主北路
3030,0001002A,地铁,1号线,徐州火车站
3030,0001002B,地铁,1号线,子房山
3030,0001002C,地铁,1号线,铜山路
3030,0001002D,地铁,1号线,黄山垅
3030,0001002E,地铁,1号线,庆丰路
3030,0001002F,地铁,1号线,医科大学
3030,00010030,地铁,1号线,乔家湖
3030,00010031,地铁,1号线,金龙湖
3030,00010032,地铁,1号线,徐州东站
3030,0002,地铁,2号线,
3030,00020021,地铁,2号线,客运北站
3030,00020022,地铁,2号线,李沃
3030,00020023,地铁,2号线,九里山
3030,00020024,地铁,2号线,奔腾大道
3030,00020025,地铁,2号线,九龙湖
3030,00020026,地铁,2号线,庆云桥
3030,00020027,地铁,2号线,彭城广场
3030,00020028,地铁,2号线,户部山
3030,00020029,地铁,2号线,师大云龙校区
3030,0002002A,地铁,2号线,中心医院
3030,0002002B,地铁,2号线,淮塔
3030,0002002C,地铁,2号线,科技城
3030,0002002D,地铁,2号线,七里沟
3030,0002002E,地铁,2号线,百果园
3030,0002002F,地铁,2号线,拖龙山
3030,00020030,地铁,2号线,大龙湖
3030,00020031,地铁,2号线,市行政中心
3030,00020032,地铁,2号线,汉源大道
3030,00020033,地铁,2号线,新元大道
3030,00020034,地铁,2号线,新城区东
