City,Code,Type,Line,Station
4210,0002,,2号线,
4210,00020220,,2号线,南路
4210,00020221,,2号线,大岗
4210,00020222,,2号线,生米
4210,00020223,,2号线,九龙湖南
4210,00020224,,2号线,市民中心
4210,00020225,,2号线,鹰潭街
4210,00020226,,2号线,国博
4210,00020227,,2号线,西站南广场
4210,00020228,,2号线,南昌西站
4210,00020229,,2号线,龙岗
4210,00020230,,2号线,国体中心
4210,00020231,,2号线,卧龙山
4210,00020232,,2号线,岭北
4210,00020233,,2号线,前湖大道
4210,00020234,,2号线,学府大道东
4210,00020235,,2号线,翠苑路
4210,00020236,,2号线,地铁大厦
4210,00020237,,2号线,雅苑路
4210,00020238,,2号线,红谷中大道
4210,00020239,,2号线,阳明公园
4210,00020240,,2号线,青山路口
4210,00020241,,2号线,福州路
4210,00020242,,2号线,八一广场
4210,00020243,,2号线,永叔路
4210,00020244,,2号线,丁公路南
4210,00020245,,2号线,南昌火车站
4210,00020246,,2号线,顺外
4210,00020247,,2号线,辛家庵
