City,Code,Type,Line,Station
2220,0000413101114426,BRT,,周水子（上行）
2220,0000413101114435,BRT,,沙河口火车站（上行）
2220,0000413101114450,BRT,,车家村（下行）
2220,0000413101114451,BRT,,张前北路（上行）
2220,0000413101114647,BRT,,美林园（上行）
2220,0000413101115153,BRT,,春柳（上行）
2220,0000413101115186,BRT,,泡崖村（下行）
2220,0000413101115532,BRT,,周水子（上行）
2220,0000413101115612,BRT,,刘家桥（下行）
2220,0000413101115613,BRT,,周水前（下行）
2220,0000413101115836,BRT,,泡崖村（下行）
2220,0000413101116829,BRT,,友谊桥（上行）
2220,0000413101118047,BRT,,沙河口火车站（下行）
2220,0000413101118502,BRT,,春柳（下行）
2220,0000413101118530,BRT,,美林园（下行）
2220,0000413101118533,BRT,,美林公园（上行）
2220,0000413101118552,BRT,,刘家桥（上行）
2220,0000413101118557,BRT,,周水子（下行）
2220,0000413101118558,BRT,,美林公园（下行）
2220,0000413101118563,BRT,,玉湖街（上行）
2220,0000413101118570,BRT,,工业大学（下行）
2220,0000413101122489,BRT,,周水前（上行）
2220,0000413101122499,BRT,,兴工街（下行）
2220,0000413101122543,BRT,,车家村（上行）
2220,0000413101122631,BRT,,香工街（下行）
2220,0000413101122701,BRT,,工业大学（上行）
2220,0000413101123158,BRT,,香工街（上行）
2220,0000413101123162,BRT,,友谊桥（下行）
2220,0000413101123163,BRT,,张前北路（上行）
2220,0000413101123177,BRT,,泡崖村（上行）
2220,0000413101123279,BRT,,春柳（下行）
2220,0000413101259030,BRT,,友谊桥（上行）
2220,0000413101259049,BRT,,泡崖村（上行）
2220,0000413101259147,BRT,,玉湖街（下行）
2220,0000413101259529,BRT,,兴工街（下行）
