City,Code,Type,Line,Station
2220,01,地铁,1号线,
2220,0101,地铁,1号线,姚家
2220,0102,地铁,1号线,大连北站
2220,0103,地铁,1号线,华北路
2220,0104,地铁,1号线,华南北
2220,0105,地铁,1号线,华南广场
2220,0106,地铁,1号线,千山路
2220,0107,地铁,1号线,松江路
2220,0108,地铁,1号线,东纬路
2220,0109,地铁,1号线,春柳
2220,010A,地铁,1号线,香工街
2220,010B,地铁,1号线,中长街
2220,010C,地铁,1号线,兴工街
2220,010D,地铁,1号线,西安路
2220,010E,地铁,1号线,富国街
2220,010F,地铁,1号线,会展中心
2220,0110,地铁,1号线,星海广场
2220,0111,地铁,1号线,大医二院
2220,0112,地铁,1号线,黑石礁
2220,0113,地铁,1号线,学苑广场
2220,0114,地铁,1号线,海事大学
2220,0115,地铁,1号线,七贤岭
2220,0116,地铁,1号线,河口
2220,02,地铁,2号线,
2220,0201,地铁,2号线,海之韵
2220,0202,地铁,2号线,东海
2220,0203,地铁,2号线,东港
2220,0204,地铁,2号线,会议中心
2220,0205,地铁,2号线,港湾广场
2220,0206,地铁,2号线,中山广场
2220,0207,地铁,2号线,友好广场
2220,0208,地铁,2号线,青泥洼桥
2220,0209,地铁,2号线,一二九街
2220,020A,地铁,2号线,人民广场
2220,020B,地铁,2号线,联合路
2220,020C,地铁,2号线,交通大学
2220,020D,地铁,2号线,辽师大
2220,020E,地铁,2号线,马栏广场
2220,020F,地铁,2号线,湾家
2220,0210,地铁,2号线,红旗西路
2220,0211,地铁,2号线,虹锦路
2220,0212,地铁,2号线,虹港路
2220,0213,地铁,2号线,机场
2220,0214,地铁,2号线,辛寨子
2220,03,快轨,3号线,
2220,0301,快轨,3号线,大连火车站
2220,0302,快轨,3号线,香炉礁
2220,0303,快轨,3号线,金家街
2220,0304,快轨,3号线,泉水
2220,0305,快轨,3号线,后盐
2220,0306,快轨,3号线,大连湾
2220,0307,快轨,3号线,金马路
2220,0308,快轨,3号线,开发区
2220,0309,快轨,3号线,保税区
2220,030A,快轨,3号线,双D港
2220,030D,快轨,3号线,小窑湾
2220,030B,快轨,3号线,金石滩
2220,030F,快轨,3号线,通世泰
2220,0310,快轨,3号线,鸿玮澜山
2220,0311,快轨,3号线,东山路
2220,0312,快轨,3号线,和平路
2220,0313,快轨,3号线,十九局
2220,0314,快轨,3号线,九里
2220,08,地铁,12号线,
2220,0801,地铁,12号线,河口
2220,0802,地铁,12号线,蔡大岭
2220,0803,地铁,12号线,黄泥川
2220,0804,地铁,12号线,龙王塘
2220,0805,地铁,12号线,塔河湾
2220,0806,地铁,12号线,旅顺
2220,0807,地铁,12号线,铁山
2220,0808,地铁,12号线,旅顺新港
2220,0D,地铁,13号线,
2220,0D20,地铁,13号线,大医三院
2220,0D21,地铁,13号线,海湾高中
2220,0D22,地铁,13号线,普兰店开发区
2220,0D23,地铁,13号线,平安河
2220,0D24,地铁,13号线,普兰店振兴街
