City,Code,Type,Line,Station
7910,0001,地铁,1号线,
7910,0001000D,地铁,1号线,沣河森林公园
7910,0001000F,地铁,1号线,北槐
7910,00010011,地铁,1号线,上林路
7910,00010013,地铁,1号线,沣东自贸园
7910,00010015,地铁,1号线,后卫寨
7910,00010017,地铁,1号线,三桥
7910,00010019,地铁,1号线,皂河
7910,0001001B,地铁,1号线,枣园
7910,0001001D,地铁,1号线,汉城路
7910,0001001F,地铁,1号线,开远门
7910,00010021,地铁,1号线,劳动路
7910,00010023,地铁,1号线,玉祥门
7910,00010025,地铁,1号线,洒金桥
7910,00010027,地铁,1号线,北大街
7910,00010029,地铁,1号线,五路口
7910,0001002B,地铁,1号线,朝阳门
7910,0001002D,地铁,1号线,康复路
7910,0001002F,地铁,1号线,通化门
7910,00010031,地铁,1号线,万寿路
7910,00010033,地铁,1号线,长乐坡
7910,00010035,地铁,1号线,浐河
7910,00010037,地铁,1号线,半坡
7910,00010039,地铁,1号线,纺织城
7910,02,地铁,2号线,
7910,020015,地铁,2号线,北客站
7910,020017,地铁,2号线,北苑
7910,020019,地铁,2号线,运动公园
7910,02001B,地铁,2号线,行政中心
7910,02001D,地铁,2号线,凤城五路
7910,02001F,地铁,2号线,市图书馆
7910,020021,地铁,2号线,大明宫西
7910,020023,地铁,2号线,龙首原
7910,020025,地铁,2号线,安远门
7910,020027,地铁,2号线,北大街
7910,020029,地铁,2号线,钟楼
7910,02002B,地铁,2号线,永宁门
7910,02002D,地铁,2号线,南稍门
7910,02002F,地铁,2号线,体育场
7910,020031,地铁,2号线,小寨
7910,020033,地铁,2号线,纬一街
7910,020035,地铁,2号线,会展中心
7910,020037,地铁,2号线,三爻
7910,020039,地铁,2号线,凤栖原
7910,02003B,地铁,2号线,航天城
7910,02003D,地铁,2号线,韦曲南
7910,0221,地铁,2号线,北客站
7910,0223,地铁,2号线,北苑
7910,0225,地铁,2号线,运动公园
7910,0227,地铁,2号线,行政中心
7910,0229,地铁,2号线,凤城五路
7910,0231,地铁,2号线,市图书馆
7910,0233,地铁,2号线,大明宫西
7910,0235,地铁,2号线,龙首原
7910,0237,地铁,2号线,安远门
7910,0239,地铁,2号线,北大街
7910,0241,地铁,2号线,钟楼
7910,0243,地铁,2号线,永宁门
7910,0245,地铁,2号线,南稍门
7910,0247,地铁,2号线,体育场
7910,0249,地铁,2号线,小寨
7910,0251,地铁,2号线,纬一街
7910,0253,地铁,2号线,会展中心
7910,0255,地铁,2号线,三爻
7910,0257,地铁,2号线,凤栖原
7910,0259,地铁,2号线,航天城
7910,0261,地铁,2号线,韦曲南
7910,0003,地铁,3号线,
7910,00030015,地铁,3号线,鱼化寨
7910,00030017,地铁,3号线,丈八北路
7910,00030019,地铁,3号线,延平门
7910,0003001B,地铁,3号线,科技路
7910,0003001D,地铁,3号线,太白南路
7910,0003001F,地铁,3号线,吉祥村
7910,00030021,地铁,3号线,小寨
7910,00030023,地铁,3号线,大雁塔
7910,00030025,地铁,3号线,北池头
7910,00030027,地铁,3号线,青龙寺
7910,00030029,地铁,3号线,延兴门
7910,0003002B,地铁,3号线,咸宁路
7910,0003002D,地铁,3号线,长乐公园
7910,0003002F,地铁,3号线,通化门
7910,00030031,地铁,3号线,胡家庙
7910,00030033,地铁,3号线,石家街
7910,00030035,地铁,3号线,辛家庙
7910,00030037,地铁,3号线,广泰门
7910,00030039,地铁,3号线,桃花潭
7910,0003003B,地铁,3号线,浐灞中心
7910,0003003D,地铁,3号线,香湖湾
7910,0003003F,地铁,3号线,务庄
7910,00030041,地铁,3号线,国际港务区
7910,00030043,地铁,3号线,双寨
7910,00030045,地铁,3号线,新筑
7910,00030047,地铁,3号线,保税区
7910,03,地铁,3号线,
7910,0321,地铁,3号线,鱼化寨
7910,0323,地铁,3号线,丈八北路
7910,0325,地铁,3号线,延平门
7910,0327,地铁,3号线,科技路
7910,0329,地铁,3号线,太白南路
7910,0331,地铁,3号线,吉祥村
7910,0333,地铁,3号线,小寨
7910,0335,地铁,3号线,大雁塔
7910,0337,地铁,3号线,北池头
7910,0339,地铁,3号线,青龙寺
7910,0341,地铁,3号线,延兴门
7910,0343,地铁,3号线,咸宁路
7910,0345,地铁,3号线,长乐公园
7910,0347,地铁,3号线,通化门
7910,0349,地铁,3号线,胡家庙
7910,0351,地铁,3号线,石家街
7910,0353,地铁,3号线,辛家庙
7910,0355,地铁,3号线,广泰门
7910,0357,地铁,3号线,桃花潭
7910,0359,地铁,3号线,浐灞中心
7910,0361,地铁,3号线,香湖湾
7910,0363,地铁,3号线,务庄
7910,0365,地铁,3号线,国际港务区
7910,0367,地铁,3号线,双寨
7910,0369,地铁,3号线,新筑
7910,0371,地铁,3号线,保税区
7910,0004,地铁,4号线,
7910,00040015,地铁,4号线,航天新城
7910,00040017,地铁,4号线,航天东路
7910,00040019,地铁,4号线,神舟大道
7910,0004001B,地铁,4号线,东长安街
7910,0004001D,地铁,4号线,飞天路
7910,0004001F,地铁,4号线,航天大道
7910,00040021,地铁,4号线,金滹沱
7910,00040023,地铁,4号线,曲江池西
