City,Code,Type,Line,Station
4510,01,地铁,1号线,
4510,010001,地铁,1号线,工研院
4510,010002,地铁,1号线,创新谷
4510,010003,地铁,1号线,园博园
4510,010004,地铁,1号线,大学城
4510,010005,地铁,1号线,紫薇路
4510,010006,地铁,1号线,赵营
4510,010007,地铁,1号线,玉符河
4510,010008,地铁,1号线,王府庄
4510,010009,地铁,1号线,大杨
4510,010010,地铁,1号线,济南西站
4510,010011,地铁,1号线,方特
4510,02,地铁,2号线,
4510,020001,地铁,2号线,王府庄
4510,020002,地铁,2号线,腊山南
4510,020003,地铁,2号线,腊山
4510,020004,地铁,2号线,二环西路
4510,020005,地铁,2号线,老屯
4510,020006,地铁,2号线,八里桥
4510,020007,地铁,2号线,益康路
4510,020008,地铁,2号线,济南站北
4510,020009,地铁,2号线,济泺路
4510,020010,地铁,2号线,生产路
4510,020011,地铁,2号线,北园
4510,020012,地铁,2号线,历山路
4510,020013,地铁,2号线,七里堡
4510,020014,地铁,2号线,祝甸
4510,020015,地铁,2号线,八涧堡
4510,020016,地铁,2号线,姜家庄
4510,020017,地铁,2号线,凤凰路
4510,020018,地铁,2号线,鲍山
4510,020019,地铁,2号线,彭家庄
4510,03,地铁,3号线,
4510,030001,地铁,3号线,龙洞
4510,030002,地铁,3号线,孟家庄
4510,030003,地铁,3号线,龙奥大厦
4510,030004,地铁,3号线,奥体中心
4510,030005,地铁,3号线,礼耕路
4510,030006,地铁,3号线,丁家庄
4510,030007,地铁,3号线,花园东路
4510,030008,地铁,3号线,八涧堡
4510,030009,地铁,3号线,张马屯
4510,030010,地铁,3号线,王舍人
4510,030011,地铁,3号线,裴家营
4510,030012,地铁,3号线,济南东站
4510,030013,地铁,3号线,滩头
