City,Code,Type,Line,Station
4520,02,,2号线,
4520,0218,,2号线,轮渡
4520,0219,,2号线,小港
4520,0220,,2号线,邮轮母港
4520,0221,,2号线,泰山路
4520,0222,,2号线,利津路
4520,0223,,2号线,台东
4520,0224,,2号线,海信桥
4520,0225,,2号线,芝泉路
4520,0226,,2号线,五四广场
4520,0227,,2号线,浮山所
4520,0228,,2号线,燕儿岛路
4520,0229,,2号线,高雄路
4520,0230,,2号线,麦岛
4520,0231,,2号线,海游路
4520,0232,,2号线,海川路
4520,0233,,2号线,海安路
4520,0234,,2号线,石老人浴场
4520,0235,,2号线,苗岭路
4520,0236,,2号线,同安路
4520,0237,,2号线,辽阳东路
4520,0238,,2号线,东韩
4520,0239,,2号线,华楼山路
4520,0240,,2号线,枣山路
4520,0241,,2号线,李村
4520,0242,,2号线,李村公园
4520,0243,,2号线,下王埠
4520,0244,,2号线,佛耳崖
4520,0245,,2号线,合川路
4520,0246,,2号线,宾川路
4520,0247,,2号线,院士港
4520,0248,,2号线,世园大道
4520,0249,,2号线,世博园
4520,03,,3号线,
4520,0340,,3号线,青岛站
4520,0341,,3号线,人民会堂
4520,0342,,3号线,汇泉广场
4520,0343,,3号线,中山公园
4520,0344,,3号线,太平角公园（一疗）
4520,0345,,3号线,延安三路
4520,0346,,3号线,五四广场
4520,0347,,3号线,江西路
4520,0348,,3号线,宁夏路
4520,0349,,3号线,敦化路
4520,0350,,3号线,错埠岭
4520,0351,,3号线,清江路
4520,0352,,3号线,双山
4520,0353,,3号线,长沙路
4520,0354,,3号线,地铁大厦
4520,0355,,3号线,海尔路
4520,0356,,3号线,万年泉路
4520,0357,,3号线,李村
4520,0358,,3号线,君峰路
4520,0359,,3号线,振华路
4520,0360,,3号线,永平路
4520,0361,,3号线,青岛北站
4520,11,,11号线,
4520,1121,,11号线,苗岭路
4520,1122,,11号线,会展中心
4520,1123,,11号线,青岛二中
4520,1124,,11号线,青岛科大
4520,1125,,11号线,张村
4520,1126,,11号线,枯桃
4520,1127,,11号线,海洋大学
4520,1128,,11号线,世博园
4520,1129,,11号线,北宅
4520,1130,,11号线,北九水
4520,1131,,11号线,庙石
4520,1132,,11号线,浦里
4520,1133,,11号线,鳌山卫
4520,1134,,11号线,山东大学
4520,1135,,11号线,蓝色硅谷
4520,1136,,11号线,水泊
4520,1137,,11号线,博览中心
4520,1138,,11号线,温泉东
4520,1139,,11号线,皋虞
4520,1140,,11号线,臧村
4520,1141,,11号线,钱谷山
4520,1142,,11号线,鳌山湾
4520,1143,,11号线,王村
4520,1144,,11号线,沙戈庄
4520,1145,,11号线,田横西
4520,1146,,11号线,田横
