City,Code,Type,Line,Station
2900,260,BRT,,
2900,2601,BRT,BRT奉浦快线,
2900,260101,BRT,BRT奉浦快线,南桥汽车站
2900,260102,BRT,BRT奉浦快线,望园路
2900,260103,BRT,BRT奉浦快线,金海公路
2900,260104,BRT,BRT奉浦快线,定康路
2900,260105,BRT,BRT奉浦快线,贤浦路
2900,260106,BRT,BRT奉浦快线,秀竹路
2900,260107,BRT,BRT奉浦快线,清朗路
2900,260108,BRT,BRT奉浦快线,金大公路
2900,260109,BRT,BRT奉浦快线,齐贤
2900,260110,BRT,BRT奉浦快线,南行港路
2900,260111,BRT,BRT奉浦快线,金汇
2900,260112,BRT,BRT奉浦快线,鲁南路
2900,260113,BRT,BRT奉浦快线,闵瑞路
2900,260114,BRT,BRT奉浦快线,沈杜公路
2900,2602,BRT,BRT奉浦快线,
2900,260201,BRT,BRT奉浦快线,沈杜公路
2900,260202,BRT,BRT奉浦快线,闵瑞路
2900,260203,BRT,BRT奉浦快线,鲁南路
2900,260204,BRT,BRT奉浦快线,金汇
2900,260205,BRT,BRT奉浦快线,南行港路
2900,260206,BRT,BRT奉浦快线,齐贤
2900,260207,BRT,BRT奉浦快线,金大公路
2900,260208,BRT,BRT奉浦快线,清朗路
2900,260209,BRT,BRT奉浦快线,秀竹路
2900,260210,BRT,BRT奉浦快线,贤浦路
2900,260211,BRT,BRT奉浦快线,定康路
2900,260212,BRT,BRT奉浦快线,金海公路
2900,260213,BRT,BRT奉浦快线,望园路
2900,260214,BRT,BRT奉浦快线,南桥汽车站
2900,261,有轨电车,,
2900,2611,有轨电车,松江有轨电车1号线,
2900,261101,有轨电车,松江有轨电车1号线,辰塔路
2900,261102,有轨电车,松江有轨电车1号线,仓华路
2900,261103,有轨电车,松江有轨电车1号线,三新北路 (东)
2900,261104,有轨电车,松江有轨电车1号线,三新北路 (西)
2900,261105,有轨电车,松江有轨电车1号线,仓汇路
2900,261106,有轨电车,松江有轨电车1号线,玉树路
2900,261107,有轨电车,松江有轨电车1号线,荣乐路西林北路
2900,261108,有轨电车,松江有轨电车1号线,人民北路
2900,261109,有轨电车,松江有轨电车1号线,松江体育中心
2900,261110,有轨电车,松江有轨电车1号线,谷阳北路
2900,261111,有轨电车,松江有轨电车1号线,荣乐路通波塘
2900,261112,有轨电车,松江有轨电车1号线,方塔北路
2900,261113,有轨电车,松江有轨电车1号线,松东路
2900,261114,有轨电车,松江有轨电车1号线,松卫公路
2900,261115,有轨电车,松江有轨电车1号线,宝胜路
2900,261116,有轨电车,松江有轨电车1号线,东兴路
2900,261117,有轨电车,松江有轨电车1号线,联阳路
2900,261118,有轨电车,松江有轨电车1号线,锦昔路 (西)
2900,261119,有轨电车,松江有轨电车1号线,锦昔路 (东)
2900,261120,有轨电车,松江有轨电车1号线,曹农路
2900,261121,有轨电车,松江有轨电车1号线,新庙三路
2900,261122,有轨电车,松江有轨电车1号线,漕河路
2900,261123,有轨电车,松江有轨电车1号线,新车公路
2900,261124,有轨电车,松江有轨电车1号线,新镇街
2900,261125,有轨电车,松江有轨电车1号线,新站路
2900,261126,有轨电车,松江有轨电车1号线,新桥火车站
2900,2612,有轨电车,松江有轨电车2号线,
2900,261201,有轨电车,松江有轨电车2号线,仓华路
2900,261202,有轨电车,松江有轨电车2号线,三新北路
2900,261203,有轨电车,松江有轨电车2号线,思贤路
2900,261204,有轨电车,松江有轨电车2号线,文诚路
2900,261205,有轨电车,松江有轨电车2号线,泰晤士小镇西
2900,261206,有轨电车,松江有轨电车2号线,泰晤士小镇北
2900,261207,有轨电车,松江有轨电车2号线,龙源路
2900,261208,有轨电车,松江有轨电车2号线,江学路
2900,261209,有轨电车,松江有轨电车2号线,新松江路西林北路
2900,261210,有轨电车,松江有轨电车2号线,人民北路新松江路
2900,261211,有轨电车,松江有轨电车2号线,文汇路
2900,261212,有轨电车,松江有轨电车2号线,梅家浜路
2900,261213,有轨电车,松江有轨电车2号线,广富林路 (东华大学)
2900,261214,有轨电车,松江有轨电车2号线,龙马路
2900,261215,有轨电车,松江有轨电车2号线,广富林路谷阳北路
2900,261216,有轨电车,松江有轨电车2号线,光星路
2900,261217,有轨电车,松江有轨电车2号线,茸宁路
2900,261218,有轨电车,松江有轨电车2号线,茸惠路
2900,261219,有轨电车,松江有轨电车2号线,中辰路
2900,261220,有轨电车,松江有轨电车2号线,徐塘路
2900,261221,有轨电车,松江有轨电车2号线,明南路
2900,261222,有轨电车,松江有轨电车2号线,江田东路
2900,261223,有轨电车,松江有轨电车2号线,松江大学城
2900,261224,有轨电车,松江有轨电车2号线,锦昔路
