City,Code,Type,Line,Station
2900,1151,,国际旅游度假区1,
2900,3004,,陆家嘴金融城1,
2900,3006,,上川专线,
2900,3008,,浦东15,
2900,3010,,徐川专线,
2900,3014,,浦东17,
2900,3015,,高川专线,
2900,3021,,南闵专线,
2900,3024,,青浦2,
2900,3057,,新芦专线,
2900,3077,,周南线,
2900,3083,,南新专线,
2900,3095,,徐闵线,
2900,3101,,闵行20,
2900,3106,,闵行12,
2900,3111,,石梅线,
2900,3112,,南梅线,
2900,3118,,莘南专线,
2900,3141,,青纪线,
2900,3142,,青安线,
2900,3145,,青商线,
2900,3147,,青枫专线,
2900,3149,,青金线,
2900,3153,,松青线,
2900,3167,,浦东19,
2900,3235,,松卫专线,
2900,3239,,沪松专线,
2900,3272,,龙港快线,
2900,3300,,枫梅线,
2900,3313,,古美环线,
2900,3319,,惠南3,
2900,3395,,金山2,
2900,3417,,南金线,
2900,3418,,松新枫线,
2900,3430,,奉贤9,
2900,3454,,青浦5,
2900,3456,,青浦6,
2900,3457,,青浦9,
2900,3460,,青泸线,
2900,3461,,沪朱高速快线,
2900,3464,,青浦1,
2900,3468,,青华专线,
2900,3471,,青小线,
2900,3473,,青蒸线,
2900,3499,,莲石专线,
2900,3500,,莲卫专线,
2900,3525,,嘉松线,
2900,3543,,莲廊专线,
2900,3548,,南申专线,
2900,3572,,闵行33,
2900,3603,,华新1,
2900,3609,,闵行50,
2900,3671,,闵行28,
2900,3701,,大桥六线,
2900,3719,,隧道九线,
2900,3747,,隧道八线,
2900,3752,,青浦11,
2900,3755,,虹桥枢纽9,
2900,3805,,隧道三线,
2900,3811,,闵行11,
2900,3819,,白徐线,
2900,3823,,虹桥枢纽8,
2900,3828,,虹桥枢纽5,
2900,3830,,大桥五线,
2900,3848,,闵行23,
2900,3850,,虹桥枢纽1,
2900,3893,,莘庄3,
2900,3903,,枫泾7,
2900,3938,,闵行18,
2900,3977,,惠南6,
2900,3985,,莘南高速线,
2900,4010,,白鹤6,
2900,4067,,华新5,
2900,4069,,华新3,
2900,4087,,浦东43,
2900,4100,,浦东40,
2900,4109,,青浦17,
2900,4118,,青浦19,
2900,4139,,南团快线,
2900,4146,,奉贤17,
2900,4156,,华新8,
2900,4173,,浦东72,
2900,4175,,浦东62,
