City,Code,Type,Line,Station
2000,1101,,1号线,
2000,110111,,1号线,莘庄
2000,110112,,1号线,外环路
2000,110113,,1号线,莲花路
2000,110114,,1号线,锦江乐园
2000,110115,,1号线,上海南站
2000,110116,,1号线,漕宝路
2000,110117,,1号线,上海体育馆
2000,110118,,1号线,徐家汇
2000,110119,,1号线,衡山路
2000,110120,,1号线,常熟路
2000,110121,,1号线,陕西南路
2000,110122,,1号线,黄陂南路
2000,110123,,1号线,人民广场
2000,110124,,1号线,新闸路
2000,110125,,1号线,汉中路
2000,110126,,1号线,上海火车站
2000,110127,,1号线,中山北路
2000,110128,,1号线,延长路
2000,110129,,1号线,上海马戏城
2000,110130,,1号线,汶水路
2000,110131,,1号线,彭浦新村
2000,110132,,1号线,共康路
2000,110133,,1号线,通河新村
2000,110134,,1号线,呼兰路
2000,110135,,1号线,共富新村
2000,110136,,1号线,宝安公路
2000,110137,,1号线,友谊西路
2000,110138,,1号线,富锦路
2000,1102,,2号线,
2000,110234,,2号线,徐泾东
2000,110235,,2号线,虹桥火车站
2000,110236,,2号线,虹桥2号航站楼
2000,110237,,2号线,淞虹路
2000,110238,,2号线,北新泾
2000,110239,,2号线,威宁路
2000,110240,,2号线,娄山关路
2000,110241,,2号线,中山公园
2000,110242,,2号线,江苏路
2000,110243,,2号线,静安寺
2000,110244,,2号线,南京西路
2000,110245,,2号线,人民广场
2000,110246,,2号线,南京东路
2000,110247,,2号线,陆家嘴
2000,110248,,2号线,东昌路
2000,110249,,2号线,世纪大道
2000,110250,,2号线,上海科技馆
2000,110251,,2号线,世纪公园
2000,110252,,2号线,龙阳路
2000,110253,,2号线,张江高科
2000,110254,,2号线,金科路
2000,110255,,2号线,广兰路
2000,110256,,2号线,唐镇
2000,110257,,2号线,创新中路
2000,110258,,2号线,华夏东路
2000,110259,,2号线,川沙
2000,110260,,2号线,凌空路
2000,110261,,2号线,远东大道
2000,110262,,2号线,海天三路
2000,110263,,2号线,浦东国际机场
2000,1103,,3号线,
2000,110311,,3号线,上海南站
2000,110312,,3号线,石龙路
2000,110313,,3号线,龙漕路
2000,110314,,3号线,漕溪路
2000,110315,,3号线,宜山路
2000,110316,,3号线,虹桥路
2000,110317,,3号线,延安西路
2000,110318,,3号线,中山公园
2000,110319,,3号线,金沙江路
2000,110320,,3号线,曹杨路
2000,110321,,3号线,镇坪路
2000,110322,,3号线,中潭路
2000,110323,,3号线,上海火车站
2000,110324,,3号线,宝山路
2000,110325,,3号线,东宝兴路
2000,110326,,3号线,虹口足球场
2000,110327,,3号线,赤峰路
2000,110328,,3号线,大柏树
2000,110329,,3号线,江湾镇
