City,Code,Type,Line,Station
1610,001B,公交,1,
1610,008A,公交,2,
1610,008B,公交,2支,
1610,0062,公交,3,
1610,0049,公交,4,
1610,009C,公交,6,
1610,0028,公交,7,
1610,0069,公交,9,
1610,0099,公交,10,
1610,006A,公交,11,
1610,0042,公交,12支,
1610,0012,公交,13,
1610,0043,公交,15,
1610,002A,公交,16,
1610,002C,公交,17,
1610,007B,公交,19,
1610,0055,公交,21,
1610,006B,公交,23,
1610,00A0,公交,25,
1610,0063,公交,27,
1610,008C,公交,36,
1610,008D,公交,37,
1610,0083,公交,38,
1610,0023,公交,39,
1610,003A,公交,50,
1610,00A9,公交,51,
1610,003B,公交,52,
1610,012F,公交,53,
1610,007A,公交,55,
1610,0096,公交,56,
1610,0134,公交,56支,
1610,0022,公交,57,
1610,005A,公交,58,
1610,009E,公交,61,
1610,0064,公交,65,
1610,0065,公交,65支,
1610,00B7,公交,69,
1610,0073,公交,70,
1610,009A,公交,71,
1610,003E,公交,72,
1610,0090,公交,73,
1610,0066,公交,76,
1610,004A,公交,77,
1610,00DD,公交,79,
1610,0048,公交,80,
1610,007C,公交,81,
1610,0133,公交,82,
1610,0111,公交,84,
1610,015E,公交,86,
1610,00AE,公交,103,
1610,00D1,公交,201,
1610,007E,公交,301,
1610,00ED,公交,303,
1610,00EE,公交,304,
1610,00F0,公交,306,
1610,00DE,公交,308,
1610,00CF,公交,310,
1610,00D0,公交,311,
1610,0081,公交,318,
1610,0082,公交,319,
1610,0141,公交,322支,
1610,002B,公交,330,
1610,0139,公交,331,
1610,013B,公交,332,
1610,0138,公交,333,
1610,006E,公交,410,
1610,001C,公交,412,
1610,00C8,公交,501,
1610,00EA,公交,502,
1610,00B1,公交,602,
1610,005C,公交,606,
1610,00F7,公交,606支,
1610,0095,公交,610,
1610,002F,公交,611,
1610,00B9,公交,615,
1610,0060,公交,618,
1610,0061,公交,618支,
1610,005D,公交,619,
1610,00B4,公交,801,
1610,002D,公交,803,
1610,00E0,公交,804,
1610,00BA,公交,807,
1610,00B5,公交,808,
1610,003C,公交,809,
1610,001E,公交,813,
1610,0070,公交,814,
1610,0056,公交,816,
1610,0057,公交,816支,
1610,004B,公交,817,
1610,0076,公交,820,
1610,0077,公交,820支,
1610,008E,公交,821支,
1610,008F,公交,821支,
1610,0034,公交,822,
1610,0067,公交,823,
1610,00AA,公交,824,
1610,0058,公交,825,
1610,00BC,公交,827,
1610,00BD,公交,829,
1610,00BE,公交,830,
1610,0035,公交,831,
1610,00B8,公交,832,
1610,0087,公交,834,
1610,00FB,公交,834支,
1610,0046,公交,835,
1610,00CC,公交,835支,
1610,00FA,公交,836,
1610,004E,公交,837,
1610,004D,公交,838,
1610,00C3,公交,839,
1610,014C,公交,839支,
1610,0052,公交,840,
1610,006D,公交,843,
1610,0084,公交,849,
1610,0085,公交,850,
1610,0054,公交,851,
1610,0030,公交,855,
1610,00DF,公交,856,
1610,00C5,公交,857,
1610,0059,公交,858,
1610,003D,公交,859,
1610,00AB,公交,861,
1610,0072,公交,863,
1610,0016,公交,864,
1610,00BB,公交,865,
1610,00AC,公交,868,
1610,00B2,公交,869,
1610,0068,公交,870,
1610,0078,公交,873,
1610,009F,公交,875,
1610,00B3,公交,876,
1610,00A3,公交,877,
1610,00A5,公交,880,
1610,00D6,公交,901,
1610,00D7,公交,901支,
1610,00D8,公交,902,
1610,00C6,公交,903,
1610,00C7,公交,903支,
1610,00DB,公交,904,
1610,00C9,公交,905,
1610,00F3,公交,909,
1610,0119,公交,910,
1610,0115,公交,911,
1610,0132,公交,912,
1610,012B,公交,914,
1610,0149,公交,916,
1610,014F,公交,917,
1610,00E3,公交,K2,
1610,00CD,公交,K3,
1610,011E,公交,S2,
1610,011F,公交,S3,
1610,0123,公交,S4,
1610,0130,公交,S7,
1610,012C,公交,S10,
1610,012D,公交,S11,
1610,012E,公交,S14,
1610,0126,公交,S15,
1610,0148,公交,S16,
1610,0121,公交,Y1,
1610,0127,公交,Y3,
1610,013D,公交,Z003,
1610,013E,公交,Z004,
1610,013F,公交,Z005,
1610,0150,公交,G1,
1610,0151,公交,G2,
1610,0152,公交,G3,
1610,0153,公交,G4,
1610,0154,公交,G5,
1610,0156,公交,G6,
1610,0155,公交,G7,
1610,0097,公交,安广专线,
1610,013C,公交,天龙山景区摆渡,
