City,Code,Type,Line,Station
8810,01,地铁,1号线,
8810,010001,地铁,1号线,三屯碑
8810,010002,地铁,1号线,新疆大学
8810,010003,地铁,1号线,二道桥
8810,010004,地铁,1号线,南门
8810,010005,地铁,1号线,北门
8810,010006,地铁,1号线,新兴街
8810,010007,地铁,1号线,南湖广场
8810,010008,地铁,1号线,南湖北路
8810,010009,地铁,1号线,王家梁
8810,010010,地铁,1号线,八楼
8810,010011,地铁,1号线,新疆图书馆
8810,010012,地铁,1号线,中营工
8810,010013,地铁,1号线,小西沟
8810,010014,地铁,1号线,铁路局
8810,010015,地铁,1号线,体育中心
8810,010016,地铁,1号线,植物园
8810,010017,地铁,1号线,迎宾路口
8810,010018,地铁,1号线,三工
8810,010019,地铁,1号线,宣仁墩
8810,010020,地铁,1号线,大地窝堡
8810,010021,地铁,1号线,国际机场
