City,Code,Type,Line,Station
7310,0001,地铁,1号线,
7310,00010007,地铁,1号线,昆明南火车站
7310,00010008,地铁,1号线,白龙潭
7310,00010009,地铁,1号线,宜和路
7310,00010016,地铁,1号线,市级行政中心
7310,00010017,地铁,1号线,大学城南
7310,00010018,地铁,1号线,大学城
7310,00010019,地铁,1号线,谊康南路
7310,00010020,地铁,1号线,联大街
7310,00010021,地铁,1号线,驼峰街
7310,00010022,地铁,1号线,春融街
7310,00010023,地铁,1号线,斗南
7310,00010024,地铁,1号线,南部汽车站
7310,00010025,地铁,1号线,新亚洲体育城
7310,00010032,地铁,1号线,星耀路
7310,00010033,地铁,1号线,珥季路
7310,00010034,地铁,1号线,晓东村
7310,00010035,地铁,1号线,昌宏西路
7310,00010036,地铁,1号线,巫家坝
7310,00010037,地铁,1号线,日新路
7310,00010038,地铁,1号线,福德
7310,00010039,地铁,1号线,昆明火车站
7310,00010040,地铁,1/2号线,环城南路
7310,00010041,地铁,2号线,塘子巷
7310,00010048,地铁,2号线,东风广场
7310,00010049,地铁,2号线,交三桥
7310,00010050,地铁,2号线,穿心鼓楼
7310,00010051,地铁,2号线,火车北站
7310,00010052,地铁,2号线,白云路
7310,00010053,地铁,2号线,金星
7310,00010054,地铁,2号线,北辰
7310,00010055,地铁,2号线,霖雨桥
7310,00010056,地铁,2号线,羊肠村
7310,00010057,地铁,2号线,司家营
7310,00010064,地铁,2号线,龙头街
7310,00010065,地铁,2号线,北部汽车站
7310,0003,地铁,3号线,
7310,00030017,地铁,3号线,西山公园
7310,00030018,地铁,3号线,车家壁
7310,00030019,地铁,3号线,普坪村
7310,00030020,地铁,3号线,石咀
7310,00030021,地铁,3号线,大渔路
7310,00030022,地铁,3号线,西部汽车站
7310,00030023,地铁,3号线,眠山
7310,00030024,地铁,3号线,昌源中路
7310,00030025,地铁,3号线,西苑
7310,00030032,地铁,3号线,梁家河
7310,00030033,地铁,3号线,市体育馆
7310,00030034,地铁,3号线,潘家湾
7310,00030035,地铁,3号线,五一路
7310,00030036,地铁,3号线,东风广场
7310,00030037,地铁,3号线,拓东体育馆
7310,00030038,地铁,3号线,大树营
7310,00030039,地铁,3号线,金马寺
7310,00030040,地铁,3号线,太平村
7310,00030041,地铁,3号线,虹桥
7310,00030048,地铁,3号线,东部汽车站
7310,04,地铁,4号线,
7310,040001,地铁,4号线,金川路
7310,040003,地铁,4号线,大河埂
7310,040005,地铁,4号线,海屯路
7310,040007,地铁,4号线,小屯
7310,040009,地铁,4号线,金鼎山北路
7310,040011,地铁,4号线,苏家塘
7310,040013,地铁,4号线,小菜园
7310,040015,地铁,4号线,火车北站
7310,040017,地铁,4号线,白龙路
7310,040019,地铁,4号线,大树营
7310,040021,地铁,4号线,菊花村
7310,040023,地铁,4号线,菊华
7310,040025,地铁,4号线,和甸营
7310,040027,地铁,4号线,牛街庄
7310,040029,地铁,4号线,朱家村
7310,040031,地铁,4号线,羊甫头
7310,040033,地铁,4号线,玉缘路
7310,040035,地铁,4号线,广卫
7310,040037,地铁,4号线,塔密
7310,040039,地铁,4号线,斗南
7310,040041,地铁,4号线,金桂街
7310,040043,地铁,4号线,梅子村
7310,040045,地铁,4号线,古城
7310,040047,地铁,4号线,可乐村
7310,040049,地铁,4号线,祥丰街
7310,040051,地铁,4号线,牛头山
7310,040053,地铁,4号线,联大街
7310,040055,地铁,4号线,吴家营
7310,040057,地铁,4号线,昆明南火车站
7310,0006,地铁,6号线,
7310,00060017,地铁,6号线,机场中心
7310,00060018,地铁,6号线,机场前
7310,00060019,地铁,6号线,大板桥
7310,00060020,地铁,6号线,东部汽车站
7310,00060021,地铁,6号线,菊华
7310,00060022,地铁,6号线,东郊路
7310,00060023,地铁,6号线,岔街
7310,00060024,地铁,6号线,塘子巷
