City,Code,Type,Line,Station
3370,0089,地铁,1号线,
3370,00890001,地铁,1号线,姑娘桥
3370,00890002,地铁,1号线,衙前
3370,00890003,地铁,1号线,杨汛桥
3370,00890004,地铁,1号线,前梅
3370,00890005,地铁,1号线,钱清
3370,00890006,地铁,1号线,西沙路
3370,00890007,地铁,1号线,临杭大道
3370,00890008,地铁,1号线,鉴水路
3370,00890009,地铁,1号线,越州大道
3370,00890010,地铁,1号线,中国轻纺城
3370,0088,地铁,1号线,
3370,00880011,地铁,1号线,明珠广场
3370,00880012,地铁,1号线,瓜渚湖
3370,00880013,地铁,1号线,镜水路
3370,00880014,地铁,1号线,黄酒小镇
3370,00880015,地铁,1号线,张墅
3370,00880016,地铁,1号线,奥体中心
3370,00880017,地铁,1号线,梅山广场
3370,00880018,地铁,1号线,凤林
3370,00880019,地铁,1号线,大滩
3370,00880020,地铁,1号线,火车站
3370,00880021,地铁,1号线,城市广场
3370,00880022,地铁,1号线,鲁迅故里
3370,00880024,地铁,1号线,城南大道
3370,00880025,地铁,1号线,凤凰山
3370,00880026,地铁,1号线,劳家葑
3370,00880027,地铁,1号线,南池
3370,00880028,地铁,1号线,栖湖
3370,00880029,地铁,1号线,芳泉
3370,01,城际,绍兴城际,
3370,0111,城际,绍兴城际,杭州南
3370,0121,城际,绍兴城际,钱清
3370,0122,城际,绍兴城际,绍兴
3370,0123,城际,绍兴城际,上虞
