City,Code,Type,Line,Station
3370,413101357485,城际,绍兴城际,绍兴
3370,413101357537,城际,绍兴城际,绍兴
3370,413101357628,城际,绍兴城际,绍兴
3370,413101357633,城际,绍兴城际,绍兴
3370,413101357682,城际,绍兴城际,上虞
3370,413101357701,城际,绍兴城际,上虞
3370,413101357735,城际,绍兴城际,钱清
3370,413101357802,城际,绍兴城际,钱清
3370,413101357842,城际,绍兴城际,绍兴
3370,413101357864,城际,绍兴城际,钱清
3370,413101357873,城际,绍兴城际,绍兴
3370,413101358045,城际,绍兴城际,钱清
3370,413101358072,城际,绍兴城际,绍兴
3370,413101358090,城际,绍兴城际,绍兴
3370,413101358145,城际,绍兴城际,钱清
3370,413101358172,城际,绍兴城际,上虞
3370,413101358182,城际,绍兴城际,钱清
3370,413101358232,城际,绍兴城际,钱清
3370,413101358238,城际,绍兴城际,钱清
3370,413101358359,城际,绍兴城际,绍兴
3370,413101358395,城际,绍兴城际,钱清
